snap(-99,-99,-99)

sky(0,0,0)
fog(0,0,0) 
ground(0,0,0)

fadefrom(1000000)
density(8421503)

lightson()

name(Nighttime Confusion)
nlaps(3)

.set(57,70000,-10000,-14250,80)

set(15,0,0,250,0)p
set(15,0,5600,250,180)p
set(15,0,11200,250,180)p
set(35,0,11200,250,0)pr
set(15,0,16800,250,0)p
set(15,0,22400,250,180)p
set(35,0,20000,250,180)pr
set(15,0,28000,250,0)p
set(35,0,29000,250,0)pr
set(15,0,33600,250,0)p
set(15,0,39200,250,0)p
chk(42,0,42000,250,0)
set(17,0,43750,250,0)pt
set(15,4550,43750,250,90)p
set(16,10150,43750,250,-90)p
set(15,15750,43750,250,90)p
set(34,15750,43750,250,90)pr
set(15,21350,43750,250,-90)p
set(15,26950,43750,250,90)p
set(15,32550,43750,250,-90)p
set(17,37100,43750,250,180)pt
set(17,37100,47250,250,-90)pt
chk(42,35350,47250,250,90)
set(15,32550,47250,250,90)p
set(15,26950,47250,250,90)p
set(35,26950,47050,250,90)pr
set(35,24000,47450,250,-90)pr
set(15,21350,47250,250,90)p
set(15,15750,47250,250,-90)p
set(15,10150,47250,250,90)p
set(16,4550,47250,250,-90)p
set(16,-1050,47250,250,90)p
set(15,-6650,47250,250,-90)p
set(15,-12250,47250,250,90)p
set(15,-17850,47250,250,-90)p
set(15,-23450,47250,250,90)p
set(16,-29050,47250,250,90)p

set(33,-8000,47250,250,90)
set(33,-13000,47250,250,90)
set(33,-18000,47250,250,90)
set(33,-23000,47250,250,90)

set(17,-33600,47250,250,0)pt
chk(42,-33600,45500,250,0)
set(17,-33600,43750,250,90)pt
set(15,-29050,43750,250,90)p
set(15,-23450,43750,250,90)p
set(34,-23450,43750,250,90)pr
set(15,-17850,43750,250,90)p
set(15,-12250,43750,250,90)p
set(17,-7700,43750,250,-90)pt
chk(42,-7700,42000,250,0)
set(15,-7700,39200,250,0)p
set(20,-7700,33600,250,180)p
set(10,-7700,28000,250,0)p
set(30,-7700,21891,250,180)p
fix(41,-7700,19500,-600,0)

set(23,-7700,20211,250,0)p
set(23,-7700,14000,250,180)p
set(10,-7700,11200,250,180)p
set(10,-7700,5600,250,0)p
set(14,-7700,1050,250,180)pt
chk(40,-9450,1050,250,90)
set(20,-12250,1050,250,-90)p
set(17,-16800,1050,250,90)pt
set(15,-16800,5600,250,0)p
set(15,-16800,11200,250,0)p
set(15,-16800,16800,250,0)p
set(15,-16800,22400,250,0)p
set(15,-16800,28000,250,0)p

set(35,-16400,11200,250,0)
set(35,-17200,16200,250,180)
set(35,-16300,22200,250,180)
set(35,-17300,22200,250,0)

set(17,-16800,32550,250,-90)pt
set(17,-20300,32550,250,0)pt
set(15,-20300,28000,250,0)p
set(15,-20300,22400,250,0)
chk(42,-20300,22400,250,0)
set(15,-20300,16800,250,0)p
set(15,-20300,11200,250,0)p
set(15,-20300,5600,250,0)p
set(15,-20300,0,250,0)p
set(17,-20300,-4550,250,90)pt
set(15,-15750,-4550,250,-90)p
set(15,-10150,-4550,250,-90)p
set(34,-10150,-4550,250,-90)
set(15,-4550,-4550,250,-90)p
chk(42,0,-2800,250,0)
set(17,0,-4550,250,180)

set(23,10000,2800,250,0)
set(10,10000,5600,250,0)p
set(10,10000,11200,250,0)p
set(10,10000,16800,250,180)p
set(26,10000,20200,250,0)pr
fix(41,10000,24000,-1400,0)s
set(23,10000,27200,250,0)p
set(10,10000,30000,250,0)
set(23,10000,32800,250,180)p


set(23,25000,2800,250,0)
set(10,25000,5600,250,0)
set(10,25000,11200,250,180)
set(10,25000,16800,250,0)
set(28,25000,21764,250,0)
set(10,25000,26728,250,0)
set(10,25000,32328,250,0)
set(23,25000,35128,250,180)


maxr(12,40000,-5000)
maxb(16,-7400,-34400)
maxl(12,-36800,-5000)
maxt(16,50200,-34400)

