snap(5,-25,35)
sky(370,260,200)
ground(202,209,196)
polys(202,209,196)
clouds(255,255,255,10,-843)
texture(0,0,0,60)
fadefrom(0)
mountains(95630)
name(Suddenly the King becomes Santa's Little Helper)

nlaps(4)

set(77,-1200000000,1200000000,-900000000,-45)

set(47,0,0,250,0)
set(10,0,0,250,0)p
set(10,0,5600,250,0)p
set(10,0,11200,250,180)p
set(10,0,16800,250,180)p
set(52,300,17309,250,0)pr
set(52,-300,17309,250,0)
set(10,0,21789,250,180)p
set(10,0,27389,250,180)p
set(37,100,30000,250,0)
set(37,-100,31000,250,0)
set(37,100,32000,250,0)
set(10,0,32989,250,0)p
set(37,-100,33000,250,0)
set(10,0,38589,250,0)p
chk(40,0,44189,250,0)
set(10,0,44189,250,0)p
set(14,0,48739,250,-90)pt
set(20,-4550,48739,250,-90)p
set(15,-10150,48739,250,-90)p
set(33,-10150,48739,250,-90)pr
set(15,-15750,48739,250,90)p
set(33,-15750,48739,250,90)pr
set(15,-21350,48739,250,-90)p
set(33,-21350,48739,250,-90)pr
set(15,-26950,48739,250,90)p
set(33,-26950,48739,250,90)pr
set(15,-32550,48739,250,-90)p
set(33,-32550,48739,250,-90)pr
chk(42,-38000,48739,250,90)
set(15,-38150,48739,250,90)p
set(33,-40000,48739,250,-90)
set(20,-43750,48739,250,90)p
set(14,-48300,48739,250,0)pt
set(10,-48300,44189,250,0)p
set(10,-48300,38589,250,0)pr
set(31,-48300,32480,250,180)pr
set(10,-48300,28000,250,180)p
fix(41,-48300,23000,-5500,0)
set(10,-48300,22400,250,0)p
set(10,-48300,16800,250,0)p
set(10,-48300,11200,250,180)p
set(10,-48300,5600,250,180)p
chk(40,-48300,5600,250,0)
set(10,-48300,0,250,0)p
set(14,-48300,-4550,250,90)pt
set(78,-46550,-4550,250,0)
set(14,-44800,-4550,250,180)pt
set(10,-44800,0,250,0)p
set(10,-44800,5600,250,0)p
set(10,-44800,11200,250,0)p
set(27,-44800,11200,250,0)p
set(38,-44800,14000,250,0)
set(38,-44800,16000,250,0)
set(10,-44800,16800,250,0)p
set(38,-44800,18000,250,0)
set(38,-44800,20000,250,0)
set(10,-44800,22400,250,0)p
set(22,-44800,25760,250,180)p
set(18,-44800,29120,250,180)p
set(18,-44800,34720,250,180)
chk(40,-44800,34720,250,0)
set(18,-44800,40320,250,0)p
set(19,-44800,44870,250,0)pt
set(21,-40250,44870,250,90)p
set(15,-34650,44870,250,90)
set(34,-34650,44870,250,90)pr
set(15,-29050,44870,250,90)p
set(33,-27300,44870,250,90)
set(15,-23450,44870,250,-90)p
set(33,-21700,44870,250,-90)
set(16,-17850,44870,250,-90)p
set(21,-12250,44870,250,-90)p
set(18,-8050,44870,250,-90)p
set(19,-3500,44870,250,-90)pr
set(18,-3500,40320,250,0)pr
chk(40,-3500,39000,250,0)
set(38,-3500,36000,250,0)
set(18,-3500,34720,250,180)pr
set(38,-3500,33000,250,0)
set(22,-3500,31360,250,180)pr
set(38,-3500,30000,250,0)
set(10,-3500,28000,250,180)pr
set(38,-3500,27000,250,0)
set(38,-3500,24000,250,0)
set(10,-3500,22400,250,0)pr
set(38,-3500,21000,250,0)
set(10,-3500,16800,250,180)
set(26,-3500,16800,250,180)pr
set(10,-3500,11200,250,0)p
set(10,-3500,5600,250,0)p
set(10,-3500,0,250,0)p
chk(40,-3500,-2800,250,0)
set(14,-3500,-4550,250,90)pt
set(14,0,-4550,250,180)pt


set(23,-46550,1000,250,0)
set(23,-46550,1000,250,180)
set(37,-46550,1600,250,90)
set(37,-46550,400,250,90)

set(17,-22400,40000,250,-90)
set(44,-22400,35450,250,0)pf
set(43,-22400,29850,250,180)p
set(43,-22400,24250,250,0)p
set(44,-22400,18650,250,180)
set(35,-22400,18650,250,0)pr
fix(41,-22400,16700,-1000,0)
set(21,-22400,13050,250,180)p
set(18,-22400,7450,250,180)
set(18,-22400,1850,250,180)p
set(19,-22400,-2700,250,180)p
set(19,-25900,-2700,250,90)
set(18,-25900,1850,250,180)
set(18,-25900,7450,250,0)
set(18,-25900,13050,250,0)
set(21,-25900,18650,250,180)
set(15,-25900,24250,250,180)
set(16,-25900,29850,250,180)
