name(The Gun Run)
snap(-50,-65,0)
sky(206,230,255)
ground(180,191,209)
polys(180,191,209)
clouds(210,210,210,1,-1000)
texture(62,68,104,20)
fadefrom(0)
mountains(-13342)
lights()
stars()

nlaps(1)

set(61,800000000,0,-200000000,90)

set(47,0,0,250,0)
set(15,0,0,250,0)p
set(15,0,5600,250,0)p
set(33,0,9000,250,0)
set(15,0,11200,250,0)p
set(15,0,16800,250,0)p
set(15,0,22400,250,0)
chk(42,0,22400,250,0)
set(17,0,26950,250,0)pt
set(15,4550,26950,250,90)p
set(15,10150,26950,250,-90)pr
set(15,15750,26950,250,-90)
set(55,15750,26950,250,-90)pr
set(15,21350,26950,250,90)p
set(15,26950,26950,250,90)p
set(16,32550,26950,250,-90)p
set(15,38150,26950,250,-90)p
set(15,43750,26950,250,90)p
set(17,48300,26950,250,180)pt
chk(42,48300,30100,250,0) 
set(15,48300,31500,250,0)p
set(17,48300,36050,250,-90)p
set(15,43750,36050,250,90)p
set(15,38150,36050,250,-90)pr
set(15,32550,36050,250,90)
set(34,32550,36050,250,90)pr
set(21,26950,36050,250,90)p
set(18,21350,36050,250,90)p
set(18,15750,36050,250,-90)p
set(22,12390,36050,250,90)p
set(10,9030,36050,250,-90)pr
set(10,3921,36050,250,90)pr
set(31,2921,36050,250,90)pr
set(23,1241,36050,250,-90)

set(23,-2004,33250,250,0)
set(23,-2004,38850,250,180)
set(10,-2004,36050,250,0)
set(26,-2004,37000,250,90)pr
set(26,-2004,35100,250,90)

set(23,-5250,36050,250,90)
set(10,-8050,36050,250,-90)p
set(10,-13650,36050,250,90)p
set(10,-19250,36050,250,90)p
set(10,-24850,36050,250,-90)p
set(32,-29814,35600,250,90)
set(32,-29814,36050,250,90)pr
set(32,-29814,36500,250,90)
set(10,-30450,36050,250,-90)p
set(10,-36050,36050,250,-90)p
set(10,-41650,36050,250,-90)p
set(10,-47250,36050,250,-90)p
set(14,-51800,36050,250,90)pt
chk(40,-51800,39200,250,0)
set(10,-51800,40600,250,0)p
set(14,-51800,45150,250,0)pt
set(10,-47250,45150,250,90)p
set(10,-41650,45150,250,-90)pr
set(29,-36686,45150,250,-90)pr
set(10,-31722,45150,250,-90)p
set(10,-26122,45150,250,-90)p
set(10,-20522,45150,250,90)p
set(10,-14922,45150,250,90)p
