name(Let the Dream Begin)
snap(20,0,-30)
sky(191,228,255)
ground(197,197,185)
polys(197,197,185)
clouds(189,220,241,0,-781)
texture(255,131,0,27)
fadefrom(0)
mountains(-52526)
nlaps(3)

set(77,0,0,-2000000000,0)

set(47,0,0,250,0)
set(15,0,0,250,0)p
set(15,0,5600,250,180)p
set(15,0,11200,250,180)
chk(42,0,11200,250,0)
set(15,0,16800,250,0)p
set(15,0,22400,250,0)
set(34,0,22400,250,0)pr
set(15,0,28000,250,0)p
set(15,0,33600,250,1800)p
set(15,0,39200,250,0)p
set(17,0,43750,250,-90)pt
set(15,-4550,43750,250,90)p
set(33,-4550,43750,250,90)
set(15,-10150,43750,250,-90)p
set(33,-10150,43750,250,-90)
set(15,-15750,43750,250,-90)p
set(33,-15750,43750,250,-90)
set(15,-21350,43750,250,90)p
set(17,-25900,43750,250,90)pt
set(15,-25900,48300,250,0)p
chk(42,-25900,48300,250,0)
set(17,-25900,52800,250,0)pt
set(15,-21350,52800,250,90)p
set(15,-15750,52800,250,-90)p
set(15,-10150,52800,250,-90)pr
set(15,-4550,52800,250,90)
set(35,-4550,52800,250,-90)pr
set(15,1050,52800,250,90)p
set(20,6650,52800,250,-90)p
set(10,12250,52800,250,-90)
chk(40,12250,52800,250,90)
set(14,16800,52800,250,-90)pt
set(10,16800,48250,250,0)p
set(10,16800,42650,250,180)pf
set(10,16800,37050,250,180)p
set(10,16800,31450,250,0)
set(26,16800,31450,250,180)pr
set(26,16800,30450,250,0)pr
fix(41,16800,27450,-1500,0)
set(10,16800,25850,250,0)p
set(10,16800,20250,250,0)p
set(10,16800,15755,250,0)p
set(10,16800,11260,250,0)p

set(13,18320,5630,250,30)p
set(10,19840,0,250,0)p
chk(40,19840,-1400,250,0)
set(14,19840,-4550,250,180)pt
set(10,15750,-4550,250,90)p
set(78,14000,-4550,250,90)pr
set(10,10150,-4550,250,90)p
set(20,4550,-4550,250,-90)p
set(17,0,-4550,250,90)pt

set(23,8400,42800,250,180)
set(10,8400,40000,250,0)
set(10,8400,34400,250,180)
set(10,8400,28800,250,0)
set(10,8400,23200,250,0)
set(10,8400,17600,250,0)
set(10,8400,12000,250,0)
set(10,8400,6400,250,0)
set(23,8400,3600,250,0)
set(78,8400,33200,250,0)
set(78,8400,13200,250,180)

set(24,-12950,37200,250,0)
set(16,-12950,34400,250,180)
set(15,-12950,28800,250,0)
