snap(0,0,0)
sky(255,0,255)
ground(255,128,0)
polys(0,0,255)
texture(0,0,255,0)
clouds(0,255,0,0,-1015)
mountains(420)
fadefrom(0)
name(Acid Trip)
nlaps(1)

maxr(21,50000,-48000)
maxl(21,-50000,-48000)
maxb(21,-50000,-48000)
maxt(21,50000,-48000)

set(77,0,0,-2000000000,0)

set(16,-7000,5500,-20000,0)
set(16,-7000,500,-20000,0)

set(47,0,0,250,0)

set(10,0,0,250,0)p
set(10,0,5000,250,0)p
set(10,0,10000,250,0)p
set(45,0,10000,250,0)
set(10,0,15000,250,0)p
set(10,0,20000,250,0)p
set(10,0,25000,250,0)p
set(10,0,30000,250,0)p
chk(40,0,32000,250,0)
set(14,0,34000,250,-90)
set(14,-3500,34000,250,0)pt
set(20,-3500,30000,250,0)p
set(35,-3500,25000,250,180)pr
set(34,-3500,20000,250,900)
set(44,-3500,24400,250,0)p
set(43,-3500,20000,250,180)p
set(43,-3500,15000,250,180)p
set(43,-3500,10000,250,180)p
set(43,-3500,5000,250,180)p
set(43,-3500,0,250,180)p
set(43,-3500,-5000,250,180)p
set(43,-3500,-10000,250,180)p
set(44,-3500,-15000,250,180)p
set(33,-3500,15000,250,900)
set(33,-3500,10000,250,0)
set(33,-3500,5000,250,0)
set(33,-3500,0,250,900)
set(33,-3500,-5000,250,0)
set(33,-3500,-10000,250,900)
set(33,-3500,-15000,250,900)
chk(42,-5300,-19500,250,90)
set(17,-3500,-19500,250,180)
set(17,-7000,-19500,250,90)pt
set(20,-7000,-15000,250,0)
set(10,-7000,-10000,250,0)
set(10,-7000,-5000,250,0)
set(10,-7000,0,250,0)
set(31,-7000,5000,250,0)
set(31,-7000,9000,250,180)
set(31,-7000,5000,-3000,180)
set(31,-7000,0,-5250,180)
set(31,-7000,-6000,-7850,180)
set(31,-7000,-12000,-11000,180)
set(31,-7000,-18000,-14000,180)
set(31,-7000,-24000,-17000,180)
set(31,-7000,-30000,-20000,180)
