snap(-40,-60,-20)
sky(200,200,250)
ground(100,100,100)
mountains(4)
clouds(255,255,255,6,-8000)
stars()
fadefrom(0)
name(Aerial Abyss?)
nlaps(1)

set(61,1000000000,-1000000000,-100000000,45)

set(48,-8000,-6400,-300000,90)
set(48,-4000,-6400,-300000,90)
set(48,4000,-6400,-300000,90)
set(48,8000,-6400,-300000,90)

set(48,-5000,36400,-300000,90)
set(48,0,36400,-300000,90)
set(48,5000,36400,-300000,90)

set(48,28000,-36400,-300000,90)
set(48,33000,-36400,-300000,90)
set(48,38000,-36400,-300000,90)

set(48,25000,36400,-300000,90)
set(48,30000,36400,-300000,90)
set(48,35000,36400,-300000,90)

set(48,-25000,36400,-300000,90)
set(48,-30000,36400,-300000,90)
set(48,-35000,36400,-300000,90)

set(42,0,0,-300000,0)
set(15,0,0,-300000,0)p
set(20,0,5600,-300000,0)pr
set(11,0,9000,-300000,0)pr
set(11,0,11200,-300000,0)pr
set(11,0,15400,-300000,0)pr
set(20,0,21000,-300000,180)p
set(15,0,26000,-300000,0)p
chk(42,0,31000,-300000,0)
set(15,0,31000,-300000,0)p
set(17,0,35000,-300000,0)
set(17,3500,35000,-300000,-90)pa
set(55,3500,18000,-300000,180)
set(15,3500,26000,-300000,0)p
set(15,3500,21000,-300000,0)p
set(55,3500,18000,-300000,180)pa

set(24,3500,6000,-300000,0)
set(17,3500,1000,-300000,90)pa
set(26,11000,1000,-300000,-90)
set(20,8500,1000,-300000,-90)pr
set(26,11000,1000,-300000,-90)pa
set(23,11000,1000,-300000,90)p

set(78,21000,1000,-299950,90)
set(23,21000,1000,-300000,-90)p
set(10,25000,1000,-300000,90)p
chk(40,30600,1000,-300000,90)
set(14,34600,1000,-300000,-90)pt
set(37,36600,500,-300000,90)
set(37,36600,-500,-300000,90)
set(37,36600,-1500,-300000,90)
set(14,34600,-2000,-300000,180)pt
chk(40,29600,-2000,-300000,90)
set(14,26600,-2000,-300000,90)pt
set(10,26600,2000,-300000,0)pr
set(45,26600,8000,-300000,0)pa
set(49,26000,10000,-300550,0)
set(49,27200,10000,-300550,180)
set(49,26000,14000,-300550,0)
set(49,27200,14000,-300550,180)
chk(40,26600,12000,-300550,0)
set(46,26600,12000,-300000,0)pt
set(45,26600,16000,-300000,180)pt

set(10,26600,23000,-300000,0)p
set(18,26600,28000,-300000,0)p
set(36,26600,34900,-299950,0)
set(18,26600,33000,-300000,0)p
set(36,26600,34900,-299950,0)
set(18,30000,33000,-300000,90)p
set(18,34000,33000,-300000,90)p
set(19,38000,33000,-300000,-90)pt
chk(40,38000,29000,-300000,0)
set(18,38000,29000,-300000,0)
set(10,38000,24000,-300000,0)p
set(52,38400,20000,-299950,180)
set(52,37600,20000,-299950,180)
set(52,38000,20000,-299950,180)pa

set(31,38000,-2000,-300000,180)
set(10,38000,3600,-300000,0)pa
set(10,38000,0,-300000,0)pa
set(31,38000,-2000,-300000,180)pr

set(37,39200,-33600,-300000,0)
set(37,38000,-33600,-300000,0)
set(37,36800,-33600,-300000,0)
set(44,38000,-21000,-300000,0)p
chk(42,38000,-26000,-300000,0)
set(43,38000,-26000,-300000,0)pt
set(44,33000,-26000,-300000,90)pa

chk(40,26000,-26000,-301400,90)
set(59,26000,-26000,-300000,90)pr

set(16,18000,-26000,-300000,90)p
set(21,12400,-26000,-300000,90)p
set(16,18000,-24000,-300000,90)
set(21,12400,-24000,-300000,90)
set(16,18000,-28000,-300000,90)
set(21,12400,-28000,-300000,90)

set(36,7600,-34500,-300000,180)
set(36,5700,-34500,-300000,180)
set(36,3800,-34500,-300000,180)
set(36,1900,-34500,-300000,180)
set(36,0,-34500,-300000,180)
set(36,-1900,-34500,-300000,180)
set(36,-3800,-34500,-300000,180)
set(36,-7600,-34500,-300000,180)

fix(41,0,-36000,-300500,0)
set(36,0,-35500,-300700,180)
set(36,-1900,-35500,-300700,180)
set(36,1900,-35500,-300700,180)

set(36,7600,-20500,-300000,0)
set(36,5700,-20500,-300000,0)
chk(40,3800,-24000,-300000,90)
set(36,3800,-20500,-300000,0)
set(36,1900,-20500,-300000,0)
set(36,-1900,-20500,-300000,0)
set(36,-3800,-20500,-300000,0)
set(36,-5700,-20500,-300000,0)
set(36,-7600,-20500,-300000,0)

set(42,-15200,-24000,-300000,90)
set(21,-12400,-24000,-300000,-90)p
chk(42,-15200,-24000,-300000,90)
set(16,-18000,-24000,-300000,-90)p
set(16,-23000,-24000,-300000,-90)p
set(17,-27000,-24000,-300000,90)pt
set(44,-27000,-20000,-300000,180)pa
set(53,-27000,-12400,-300000,0)
set(44,-27000,-14400,-300000,0)pa
set(53,-27000,-12400,-300000,0)pa
set(24,-27000,-11600,-300000,0)p

chk(40,-27000,-1600,-300000,0)
set(23,-27000,-1600,-300000,0)p
set(14,-27000,0,-300000,0)pt
set(22,-24000,0,-300000,0)pa
set(50,-20000,0,-300000,-90)
set(10,-22000,0,-300000,90)p
set(50,-20000,0,-300000,-90)pa

chk(42,-3000,0,-300000,0)
set(15,-3000,0,-300000,0)pt
set(15,-3000,3600,-300000,0)pr
set(37,-3000,11400,-300000,0)
set(16,-3000,8600,-300000,0)pr
set(16,-3000,14200,-300000,180)pr
set(17,-3000,29200,-300000,-90)pa
set(26,-10000,29200,-300000,90)
set(20,-7000,29200,-300000,90)pr
set(26,-10000,29200,-300000,90)pa
set(23,-10000,29200,-300000,-90)

set(36,-32000,34200,-300000,0)
set(10,-36500,23000,-300000,0)pa

set(23,-36500,14900,-300000,0)pa
set(23,-36500,14900,-300000,180)

chk(40,-40000,12057,-300000,0)
set(23,-40000,12057,-300000,90)pa
set(23,-40000,12057,-300000,-90)

set(23,-36500,9214,-300000,0)pa
set(23,-36500,9214,-300000,180)


chk(42,-37500,-9214,-300000,0)
set(24,-37500,-9214,-300000,0)pa
set(24,-37500,-9214,-300000,180)p

set(62,-36800,-12357,-299750,0)pa
set(24,-36500,-12057,-299750,0)
set(24,-36500,-12057,-299750,180)

chk(42,-38000,-14900,-300250,90)
set(24,-38000,-14900,-300250,0)pa
set(24,-38000,-14900,-300250,180)


set(44,-28600,-32000,-300000,90)p
set(44,-23000,-32000,-300000,-90)p
set(16,-18000,-32000,-300000,-90)p
set(21,-12400,-32000,-300000,-90)p

chk(40,-5700,-31000,-300000,0)
set(36,-5700,-34500,-300000,180)
set(18,0,-28100,-300000,0)p
set(18,0,-23000,-300000,0)pt
set(18,0,-20500,-300000,0)pr
set(21,0,-16800,-300000,180)pr
set(37,0,-11200,-300000,0)pr
set(37,0,-11200,-300000,90)
set(44,0,-11200,-300000,180)pr
set(44,0,-5600,-300000,0)p
chk(42,0,0,-300000,0)


//


set(15,0,33700,-300000,0)
set(15,0,-3600,-300000,0)
set(18,0,-33700,-300000,0)

set(15,-1500,0,-300000,0)
set(15,-1500,3600,-300000,0)
set(15,-1500,20500,-300000,0)
set(15,-1500,23000,-300000,0)
set(15,-1500,28100,-300000,0)
set(15,-1500,33700,-300000,0)
set(15,-1500,-3600,-300000,0)
set(18,-1500,-20500,-300000,0)
set(18,-1500,-23000,-300000,0)
