snap(-40,-50,-60)
sky(600,150,0)
ground(110,85,60)
polys(110,85,60)
fadefrom(0)
clouds(255,255,255,2,-3000)
texture(0,0,0,20)
mountains(1)
name(WASTEland)
nlaps(2)

set(77,0,1500000000,-150000000,0)

fix(41,10459,15201,-7000,0)

set(47,0,0,250,0)
set(36,1950,0,250,-90)
set(36,-1950,0,250,90)
set(18,0,500,250,0)p
set(22,0,3300,250,0)p
set(10,0,6600,250,0)p
set(10,0,11200,250,0)p
set(10,0,16800,250,0)p
set(20,0,22400,250,180)p
set(44,0,28000,250,180)p
set(44,0,33400,250,0)p
set(17,0,37600,250,-90)
chk(42,-2000,37600,250,90)
set(20,-4500,37600,250,90)p
set(26,-8000,37600,250,90)pr
set(42,-10100,37600,-500,0)
set(24,-10100,37600,-500,0)
set(24,-10100,37600,-500,180)
set(24,-10100,37600,-250,90)
set(24,-10100,37600,-250,-90)
set(24,-10100,37600,0,0)
set(24,-10100,37600,0,180)

set(10,-10100,37600,250,-90)p
set(26,-12200,37600,250,-90)
set(20,-15700,37600,250,-90)p
set(33,-18500,37600,250,-90)pr
set(20,-21300,37600,250,90)p
set(10,-26900,37600,250,90)p
set(12,-32542,39112,250,60)
chk(40,-32542,39112,250,60)
set(14,-37132,40624,250,90)
chk(40,-38646,45212,250,30)
set(13,-38646,45212,250,30)

set(23,-41000,48052,250,90)pa
set(23,-41000,48052,250,-90)

set(12,-38646,50892,250,-30)
chk(40,-38646,50892,250,-30)
set(14,-37132,55480,250,0)
set(13,-32542,56992,250,-60)
chk(40,-32542,56992,250,-60)
set(22,-29138,58504,250,90)p
set(18,-25788,58504,250,90)p
set(36,-25788,60304,250,90)
set(36,-22788,63304,250,0)
set(36,-19788,60304,250,-90)
set(37,-19788,59304,-400,0)
set(37,-19788,59304,-400,90)

fix(41,-19788,58504,-1000,90)
chk(40,-19788,58504,250,90)

set(36,-25788,56704,250,90)
set(36,-24788,54704,250,135)
set(36,-20788,54704,250,-135)
set(36,-19788,56704,250,-90)
set(37,-19788,57704,-400,0)
set(37,-19788,57704,-400,90)

set(18,-20300,58504,250,90)p
set(18,-20200,58504,250,90)p
set(21,-14638,58504,250,90)p
set(17,-10100,58504,250,-90)pt

set(15,-10100,54000,250,0)p
set(33,-10100,56000,250,0)
set(33,-10100,55000,250,0)
set(33,-10100,54000,250,0)
set(33,-10100,53000,250,0)
set(33,-10100,52000,250,0)
set(33,-10100,51000,250,0)
set(33,-10100,50000,250,0)
set(33,-10100,49000,250,0)
set(33,-10100,48000,250,0)
set(33,-10100,47000,250,0)
set(33,-10100,46000,250,0)
set(33,-10100,45000,250,0)
set(33,-10100,44000,250,0)
set(15,-10100,49000,250,0)
chk(42,-10100,49000,250,0)
set(38,-10100,49000,250,0)
set(37,-10100,49000,350,0)
set(15,-10100,44000,250,0)
chk(42,-10100,44000,250,0)
set(38,-10100,44000,350,0)
set(37,-10100,44000,350,0)
set(35,-10100,41200,250,0)
set(24,-10100,41200,250,180)p
chk(42,-10100,37600,-500,0)

set(23,-10100,34000,250,180)pr
set(10,-10100,31700,250,0)pr
set(31,-10100,29700,250,180)pr
set(23,-10100,29300,250,0)

set(10,-10100,25000,-1640,0)
set(10,-10100,19900,-1640,0)
set(10,-10100,14900,-1640,0)
set(10,-10100,9900,-1640,0)
set(10,-10100,4300,-1640,0)


fix(41,-10100,15201,-2500,0)

set(23,-10100,0,250,180)
set(31,-10100,-400,250,0)
set(10,-10100,-2400,250,0)
set(12,-11612,-8042,250,-30)
set(14,-13124,-12638,250,180)pt
chk(40,-13524,-12238,250,-45)
set(13,-17718,-14148,250,-60)p
set(20,-23362,-15660,250,-90)p
set(16,-28962,-15660,250,90)p
set(15,-33462,-15660,250,90)p


set(17,-37962,-15660,250,90)pt
set(44,-37962,-11111,250,180)p
chk(42,-37962,-11111,250,0)
set(43,-37962,-5660,250,0)p
chk(42,-37962,-5660,250,0)
set(43,-37962,-100,250,0)p
chk(42,-37962,-100,250,0)
set(43,-37962,5500,250,0)p
chk(42,-37962,5500,250,0)
set(44,-37962,11100,250,0)p
chk(42,-37962,11100,250,0)
set(37,-37962,11100,350,0)
set(33,-37962,-13111,250,0)
set(33,-37962,-12111,250,0)
set(33,-37962,-11111,250,0)
set(33,-37962,-10111,250,0)
set(33,-37962,-9111,250,0)
set(33,-37962,-8111,250,0)
set(33,-37962,-7111,250,0)
set(33,-37962,-6111,250,0)
set(33,-37962,-5111,250,0)
set(33,-37962,-4111,250,0)
set(33,-37962,-3111,250,0)
set(33,-37962,-2111,250,0)
set(33,-37962,-1111,250,0)
set(33,-37962,-111,250,0)
set(33,-37962,13111,250,0)
set(33,-37962,12111,250,0)
set(33,-37962,11111,250,0)
set(33,-37962,10111,250,0)
set(33,-37962,9111,250,0)
set(33,-37962,8111,250,0)
set(33,-37962,7111,250,0)
set(33,-37962,6111,250,0)
set(33,-37962,5111,250,0)
set(33,-37962,4111,250,0)
set(33,-37962,3111,250,0)
set(33,-37962,2111,250,0)
set(33,-37962,1111,250,0)
set(33,-37962,111,250,0)
set(17,-37962,15201,250,0)pt

set(20,-33462,15201,250,-90)p
set(10,-28000,15201,250,90)p
set(23,-26000,15201,250,90)p
set(10,-19900,15201,-1485,90)p
set(26,-14900,15201,-1485,-90)pr
set(10,-16900,15201,-1485,90)p
set(23,-15000,15201,-1485,90)p
set(28,-22900,15201,-1070,-90)
set(28,-24600,15201,-630,-90)
set(28,-26300,15201,-190,-90)
set(28,-28000,15201,250,-90)
fix(41,-10100,15201,-2500,90)
set(26,-4100,15201,-1485,90)
set(10,1900,15201,-1485,90)p
set(10,4900,15201,-1485,90)p
set(10,-3600,15201,-1485,90)
set(23,-5000,15201,-1485,-90)p
set(28,7900,15201,-1070,-90)p
set(28,9600,15201,-630,-90)p
set(28,11300,15201,-190,-90)p
set(23,11000,15201,250,-90)p
set(28,13000,15201,250,-90)p
set(23,15000,15201,250,90)p

set(24,25000,15201,250,90)p
set(17,26700,15201,250,180)
set(15,26700,19600,250,180)p
set(17,26700,24100,250,0)
set(17,30200,24100,250,-90)
set(17,30200,20600,250,180)
set(17,26700,20600,250,90)

chk(42,26700,22350,250,0)
chk(42,28450,24100,250,90)
chk(42,30200,22350,250,0)
chk(42,28450,20600,250,90)

chk(42,26700,22350,250,0)
chk(42,28450,24100,250,90)
chk(42,30200,22350,250,0)
chk(42,28450,20600,250,90)

chk(42,26700,22350,250,0)
chk(42,28450,24100,250,90)
chk(42,30200,22350,250,0)
chk(42,28450,20600,250,90)

chk(42,26700,22350,250,0)
chk(42,28450,24100,250,90)
chk(42,30200,22350,250,0)
chk(42,28450,20600,250,90)

chk(42,26700,22350,250,0)
chk(42,28450,24100,250,90)
chk(42,30200,22350,250,0)
chk(42,28450,20600,250,90)

set(44,25550,24550,250,-150)p
set(43,22754,29397,250,30)p
set(35,22754,29397,250,30)pr
set(44,19958,34244,250,30)p
set(20,17162,39091,250,30)p
set(13,13032,43220,250,60)p
set(13,7572,46630,250,60)p
set(13,2112,50040,250,60)p
set(31,312,51080,250,60)pr
set(23,-1246,51978,250,-120)p

chk(42,-19788,58504,250,90)

set(23,-25788,63304,250,45)p
set(10,-27688,65204,250,45)p
set(10,-31588,69104,250,45)p
set(10,-35488,73004,250,45)p
set(14,-38488,76004,250,-45)pt
chk(40,-38488,75504,250,90)
set(10,-41488,73004,250,-45)p
set(20,-45388,69104,250,-45)p
set(15,-49288,65204,250,-45)p
set(17,-52288,62204,250,45)pt
chk(42,-51688,62204,250,0)
set(15,-49288,59204,250,45)pr
set(15,-45388,55304,250,45)pr
set(33,-43488,53404,250,-135)pr
set(24,-43488,53404,250,-135)

chk(40,-39246,48052,250,45)
set(37,-38946,47752,250,0)
set(37,-39246,47752,250,0)
set(37,-39546,47752,250,0)
set(37,-38946,48052,250,0)
set(37,-39246,48052,250,0)
set(37,-39546,48052,250,0)
set(37,-38946,48352,250,0)
set(37,-39246,48352,250,0)
set(37,-39546,48352,250,0)

set(23,-35446,46052,250,-90)p
set(13,-32602,47564,250,-60)p
set(13,-26922,50588,250,-60)p
set(14,-22788,52100,250,180)pt
set(22,-22788,54400,250,180)p
set(18,-22788,57700,250,0)p

chk(40,-22788,58504,250,0)

set(19,-22788,62000,250,0)pt
set(19,-19788,62000,250,180)pt
set(18,-19788,66000,250,0)p
set(19,-19788,70000,250,0)pt
set(18,-15788,70000,250,90)p
chk(40,-15788,70000,250,90)
set(18,-10188,70000,250,90)p
set(18,-9388,70000,250,90)p
set(22,-6158,70000,250,-90)p
set(10,-2802,70000,250,90)p
set(12,2842,68488,250,60)p
chk(40,6435,66976,250,90)
set(14,7435,66976,250,-90)pt
chk(40,7435,65976,250,0)
set(13,8947,62400,250,30)p
set(20,10459,56758,250,0)p
set(35,10459,53958,250,0)pr
set(24,10459,53958,250,180)p

set(24,10459,46558,-500,0)p
set(16,10459,43760,-500,0)p
set(31,10459,32560,-500,180)
set(20,10459,38160,-500,180)p
set(31,10459,32560,-500,180)p
set(23,10459,31000,-500,0)p

set(23,10459,-3260,250,180)p
chk(40,10459,-3500,250,0)
set(14,10459,-5000,250,180)pt
set(10,6459,-5000,250,90)p
set(10,4000,-5000,250,90)p
set(14,0,-5000,250,90)pt
chk(40,0,-3500,250,0)
set(22,0,-2700,250,180)p

set(24,-22950,25800,250,0)pf
set(16,-22950,23000,250,0)p
set(15,-22950,17400,250,0)p
set(15,-22950,11800,250,180)p
set(35,-22950,11410,250,0)p
fix(41,-22950,9000,-1000,0)
set(35,-22950,6400,250,0)p
set(15,-22950,6200,250,0)p
set(15,-22950,600,250,0)p
set(16,-22950,-5000,250,0)p
set(24,-22950,-7800,250,180)p

set(75,-34255,28371,250,-90)
set(75,-21890,30740,250,90)
set(74,-3880,25610,250,180)
set(74,-4420,31820,250,0)
set(74,-6160,41420,250,180)
set(74,1730,40250,250,0)
set(74,-18840,34280,250,90)
set(74,-18690,34340,250,-90)
set(74,-18690,33410,250,90)
set(74,-18060,22920,250,-90)
set(74,-18810,25710,250,90)
set(74,-12000,28020,250,-90)
set(73,-24450,29100,250,90)
set(73,-34490,22560,250,180)
set(73,-29810,26520,250,-90)
set(73,-29060,23250,250,90)
set(73,-31400,19410,250,-90)
set(73,-6990,26220,250,0)
set(73,-3980,19980,250,180)
set(73,5170,24990,250,-90)
set(73,4720,38600,250,0)
set(73,-1790,42830,250,180)
set(73,-38885,62439,250,-90)
set(73,-45872,61480,250,90)
set(73,-53955,70933,250,-90)
set(73,-47653,76824,250,90)
set(73,-33268,77372,250,0)
set(73,-2169,78468,250,90)
set(73,-20664,75043,250,-90)
set(75,-51215,52849,250,90)
set(75,-34090,52849,250,-90)
set(75,-12718,66138,250,90)
set(75,-26418,81482,250,-90)
set(75,7010,76824,250,90)
set(75,-54366,33806,250,-90)
set(75,-34090,33395,250,90)
set(75,708,47232,250,-90)
set(75,-5199,67097,250,90)
set(75,16310,49698,250,-90)
set(75,14118,33532,250,90)
set(75,-16159,3533,250,180)
set(75,6857,7643,250,0)
set(75,15488,6410,250,180)
set(75,13707,-11263,250,0)
set(74,-3281,-10167,250,90)
set(74,-16159,-3591,250,-90)
set(74,20831,12438,250,90)
set(74,22612,-9071,250,-90)
set(74,-30681,-7975,250,90)
set(74,6035,-12633,250,180)
pile(1875,4,4,-27530,31481)
