name(The Scenic Route)
snap(0,0,20)
sky(200,250,255)
ground(0,155,0)
polys(0,145,0)
clouds(233,235,246,0,-1999)
mountains(294)
fadefrom(0)
nlaps(2)

set(77,0,0,-2000000000,0)

fix(41,-700,54250,-400,0)

set(24,0,-2800,250,180)
set(47,0,0,250,0)p
set(15,0,0,250,0)p
set(15,0,5600,250,180)p
set(15,0,11200,250,0)p
set(15,0,16800,250,180)p
set(15,0,22400,250,0)p
chk(42,0,22400,250,0)
set(17,0,26950,250,0)
set(15,4550,26950,250,90)p
set(15,10150,26950,250,-90)p
set(35,11612,26950,250,-90)pr
set(15,15750,26950,250,90)p
set(15,21350,26950,250,90)p
set(15,26950,26950,250,90)p
set(17,31500,26950,250,-90)
chk(42,31500,25200,250,0)
set(15,31500,22400,250,0)p
set(16,31500,16800,250,0)p
chk(42,31500,14000,250,0)
set(17,31500,12250,250,90)
set(17,35000,12250,250,180)
set(15,35000,16800,250,180)p
set(34,35000,19600,250,180)pr
set(15,35000,22400,250,180)p
set(15,35000,28000,250,0)p
set(15,35000,33600,250,0)p
set(16,35000,39200,250,0)p
chk(42,35000,42000,250,0)
set(16,35000,44800,250,180)p
set(17,35000,49350,250,-90)
set(33,33250,49350,250,90)pr
set(15,30450,49350,250,90)p
set(33,27650,49350,250,-90)pr
set(44,24850,49350,250,-90)p
set(44,19250,49350,250,90)p
set(44,13650,49350,250,-90)p
chk(42,10850,49350,250,90)
set(44,8050,49350,250,90)p
set(17,3500,49350,250,0)
set(17,3500,45850,250,90)
set(35,6974,45850,250,90)pr
set(15,8050,45850,250,90)p
set(15,13650,45850,250,90)p
set(15,19250,45850,250,-90)p
set(15,24850,45850,250,90)p
set(17,29400,45850,250,-90)
chk(42,29400,44100,250,0)
set(17,29400,42350,250,180)
set(44,24850,42350,250,-90)p
set(44,19250,42350,250,90)p
set(44,13650,42350,250,-90)p
set(35,10850,42350,250,0)pr
set(44,8050,42350,250,90)p
set(17,3500,42350,250,0)
set(17,3500,38850,250,90)
set(15,8050,38850,250,90)p
set(16,13650,38850,250,90)p
chk(42,16450,38850,250,90)
set(16,19250,38850,250,-90)p
set(17,23800,38850,250,-90)
set(17,23800,35350,250,90)
chk(42,25550,35350,250,90)
set(17,27300,35350,250,180)
set(17,27300,38850,250,0)
chk(42,29050,38850,250,0)
set(17,30800,38850,250,-90)
set(33,30800,37100,250,180)pr
set(16,30800,34300,250,180)p
set(33,30800,31500,250,0)pr
set(17,30800,29750,250,180)
set(15,26250,29750,250,-90)p
set(53,23450,29750,250,90)pr
set(15,20650,29750,250,90)p
fix(41,17850,29750,-1750,90)
set(16,15050,29750,250,90)p
set(33,10850,29750,250,180)pr
set(15,9450,29750,250,90)p
set(15,3850,29750,250,90)p
chk(42,1050,29750,250,90)
set(17,-700,29750,250,90)
set(15,-700,34300,250,180)p
set(62,-1088,38850,250,90)
set(63,-440,39800,250,-90)
set(15,-700,39900,250,0)p
set(63,-700,41072,250,0)
set(62,-1172,42350,250,-90)
set(63,-272,42580,250,180)
chk(42,-700,42700,250,0)
set(15,-700,45500,250,180)p
set(15,-700,51100,250,180)p
set(15,-700,56700,250,0)p
