name(Twisted)
snap(0,0,0)
sky(191,215,255)
ground(192,194,202)
polys(192,194,202)
clouds(255,255,255,5,-1999)
texture(0,0,0,10)
fadefrom(0)
mountains(616344)
nlaps(3)

set(77,0,0,-2000000000,0)

set(47,0,0,250,0)p
set(23,0,2800,250,0)p
set(14,0,4550,250,0)pt
chk(40,1750,4550,250,90)
set(14,3500,4550,250,180)pt
set(14,3500,8050,250,-90)pt
set(20,-1050,8050,250,-90)p
chk(42,-3850,8050,250,90)
set(17,-5600,8050,250,90)pt
set(17,-5600,11550,250,0)pt
chk(42,-3850,11550,250,90)
set(17,-2100,11550,250,-90)pt
set(15,-2100,7000,250,0)p
set(17,-2100,2450,250,180)pt
chk(42,-3850,2450,250,90)
set(17,-5600,2450,250,90)pt
set(15,-5600,7000,250,180)p
set(17,-5600,11550,250,-90)pt
chk(42,-7350,11550,250,90)
set(17,-9100,11550,250,90)pt
set(17,-9100,15050,250,0)pt
set(21,-4550,15050,250,-90)p
chk(42,-1750,15050,250,90)
set(19,0,15050,250,-90)pt
set(18,0,10500,250,180)p
set(19,0,5950,250,180)pt
chk(42,-1750,5950,250,90)
set(18,-4550,5950,250,90)p
set(19,-9100,5950,250,0)p
chk(40,-9100,4200,250,0)
set(19,-9100,2450,250,180)pt
set(19,-12600,2450,250,90)p
chk(40,-12600,4200,250,0)
set(19,-12600,5950,250,0)pt
chk(40,-10850,5950,250,90)
set(19,-9100,5950,250,180)pt
set(19,-9100,9450,250,-90)pt
chk(40,-10850,9450,250,90)
set(19,-12600,9450,250,90)pt
set(22,-12600,11760,250,0)p
chk(40,-12600,12320,250,0)
set(14,-12600,14070,250,0)pt
set(10,-8050,14070,250,90)p
chk(40,-5250,14070,250,90)
set(14,-3500,14070,250,180)pt
set(14,-3500,17570,250,-90)pt
set(12,-8080,19090,250,-120)p
chk(40,-10910,20610,250,90)
set(14,-12660,20610,250,0)pt
set(14,-12660,17110,250,90)pt
chk(40,-10910,17110,250,90)
set(20,-8110,17110,250,90)p
set(17,-3560,17110,250,180)pt
chk(42,-3560,18860,250,0)
set(17,-3560,20610,250,0)pt
set(17,-60,20610,250,-90)pt
chk(42,-60,18860,250,0)
set(17,-60,17110,250,90)pt
chk(42,1690,17110,250,90)
set(17,3440,17110,250,-90)pt
set(20,3440,12560,250,180)p
chk(40,3440,9760,250,0)
set(14,3440,8010,250,90)pt
set(14,6940,8010,250,180)pt
chk(40,6940,9760,250,0)
set(14,6940,11510,250,-90)pt
set(20,2390,11510,250,-90)p
set(17,-2160,11510,250,90)pt
chk(42,-2160,13260,250,0)
set(17,-2160,15010,250,0)pt
set(21,2390,15010,250,-90)p
chk(40,5190,15010,250,90)
set(19,6940,15010,250,-90)pt
set(18,6940,10460,250,0)p
set(19,6940,5910,250,180)pt
chk(40,5190,5910,250,90)
set(19,3440,5910,250,0)pt
set(19,3440,2410,250,90)pt
chk(40,5190,2410,250,90)
set(22,5750,2410,250,-90)p
set(14,8060,2410,250,180)pt
set(13,6540,6990,250,210)p
chk(40,5020,9820,250,0)
set(14,5020,11570,250,0)pt
set(14,8520,11570,250,180)pt
chk(40,8520,13320,250,0)
set(13,7000,16150,250,30)p
set(14,5480,20730,250,0)pt
chk(40,7230,20730,250,90)
set(22,7790,20730,250,90)p
set(19,10100,20730,250,-90)pt
chk(40,10100,18980,250,0)
set(19,10100,17230,250,90)pt
set(19,13600,17230,250,180)pt
chk(40,13600,18980,250,0)
set(19,13600,20730,250,-90)pt
set(19,10100,20730,250,0)pt
set(18,10100,16180,250,0)p
set(19,10100,11630,250,90)pt
chk(40,11850,11630,250,90)
set(22,12410,11630,250,-90)p
set(14,14720,11630,250,180)pt
set(14,14720,15130,250,-90)pt
chk(40,12970,15130,250,90)
set(12,10140,16650,250,60)p
chk(40,7310,18170,250,90)
set(22,6750,18170,250,-90)p
set(19,4440,18170,250,90)pt
set(19,4440,21670,250,-90)pt
chk(40,2690,21670,250,90)
set(21,-110,21670,250,-90)p
set(17,-4660,21670,250,0)pt
set(17,-4660,18170,250,180)pt
chk(42,-6410,18170,250,90)
set(20,-9210,18170,250,90)p
set(14,-13760,18170,250,0)pt
chk(40,-13760,16420,250,0)
set(13,-12240,13590,250,30)p
chk(40,-10720,10760,250,0)
set(14,-10720,9010,250,90)pt
set(14,-7220,9010,250,-90)pt
chk(40,-7220,7260,250,0)
set(14,-7220,5510,250,90)pt
set(12,-2830,4320,250,60)p

set(24,12000,2000,250,-45)
set(24,12000,2000,250,135)
set(33,12000,2000,250,0)
set(33,12000,2000,250,90)
fix(41,12000,2000,-500,0)
fix(41,12000,2000,-500,90)

maxl(6,-16435,-1105)
maxb(7,-3505,-14035)
maxr(6,17165,-1105)
maxt(7,25294,-14035)
