snap(0,20,0)
sky(150,255,255)
ground(225,205,150)
polys(225,205,150)
clouds(233,235,246,0,-1900)
mountains(2)
fadefrom(0)
name(Moving Forward)
nlaps(1)

set(77,0,0,-2000000000,0)

set(79,0,-2000,0,0)

set(47,0,0,250,0)
set(23,0,43000,250,0)p
set(10,0,45000,250,0)p
set(10,0,50000,250,0)p
set(32,0,50000,250,0)p
set(10,0,55000,250,0)p
set(20,0,60000,250,180)p
set(15,0,65000,250,0)p
set(15,0,70000,250,0)
set(33,0,70000,250,0)p
set(15,0,75000,250,0)p
set(15,0,80000,250,0)p
set(15,0,85000,250,0)
set(35,0,85000,250,0)pr
set(15,0,90000,250,0)p
set(15,0,95000,250,0)p
set(15,0,100000,250,0)
set(34,0,100000,250,0)pr

set(20,0,105600,250,0)p
set(10,0,110000,250,0)p
set(10,0,115000,250,0)p
set(10,0,120000,250,0)p
set(10,0,125000,250,0)p
set(10,0,130000,250,0)
set(26,0,130000,250,0)pr
set(10,0,135000,250,0)p
set(10,0,140000,250,0)p
set(10,0,145000,250,0)p
set(10,0,150000,250,0)p
set(23,0,152000,250,180)p
set(23,0,168000,250,0)p
set(28,0,170000,250,0)pr
set(10,0,174800,250,0)p
set(10,0,180000,250,0)p
set(10,0,185000,250,0)p
set(10,0,190000,250,0)p
set(10,0,195000,250,0)p
set(10,0,200000,250,0)
set(29,0,200000,250,0)pr

set(23,0,202000,250,180)p
set(23,0,227000,250,0)p
set(45,0,230200,250,0)pr
set(10,0,234500,250,0)p
set(10,0,240000,250,0)p
set(10,0,245000,250,0)p
set(10,0,250000,250,0)
set(31,0,250000,250,0)pr
set(23,0,252000,250,180)p
set(23,0,298000,250,0)p
set(10,0,300000,250,0)p
set(31,0,303000,250,0)pr

set(10,0,305000,250,0)p
set(23,0,307000,250,180)p
set(23,0,348000,250,0)p
set(29,0,350000,250,180)pr

set(23,0,352000,250,180)p
set(24,0,397500,250,180)p
set(15,0,400000,250,0)
set(34,0,400000,250,0)pr

set(24,0,402500,250,0)p
set(23,0,437500,250,0)p
set(10,0,440000,250,0)p
set(10,0,445000,250,0)p
set(10,0,450000,250,0)
set(32,0,450000,250,0)p
set(23,0,452000,250,180)p

set(24,0,492500,250,180)p
set(16,0,495000,250,0)p
set(15,0,500000,250,0)p
set(53,0,501000,250,0)pr
set(24,0,502500,250,0)p

set(24,0,537500,250,180)p
set(15,0,540000,250,0)
set(35,0,540000,250,0)pr
set(15,0,545000,250,0)p
set(15,0,550000,250,0)p
set(15,0,555000,250,0)p
set(15,0,560000,250,0)p
set(15,0,565000,250,0)p
set(16,0,570000,250,0)p
set(15,0,575000,250,0)p
set(16,0,580000,250,0)p
set(16,0,585000,250,0)p
set(15,0,590000,250,0)
set(34,0,590000,250,0)pr
set(20,0,595000,250,0)p
set(10,0,600000,250,0)p

set(10,0,605000,250,0)p
set(10,0,610000,250,0)p
set(10,0,615000,250,0)p
set(10,0,620000,250,0)
set(26,0,620000,250,0)pr
set(10,0,625000,250,0)p
set(10,0,630000,250,0)p
set(10,0,635000,250,0)p
set(10,0,640000,250,0)p
set(10,0,645000,250,0)p
set(10,0,650000,250,0)p
set(10,0,655000,250,0)p
set(10,0,660000,250,0)p
set(10,0,665000,250,0)p
set(10,0,670000,250,0)
set(28,0,670000,250,0)pr
set(10,0,675000,250,0)p
set(10,0,680000,250,0)p
set(10,0,685000,250,0)p
set(10,0,690000,250,0)p
set(10,0,695000,250,0)p
set(10,0,700000,250,0)
set(29,0,700000,250,0)pr

set(10,0,705000,250,0)p
set(10,0,710000,250,0)p
set(10,0,715000,250,0)p
set(10,0,720000,250,0)p
set(10,0,725000,250,0)p
set(10,0,730000,250,0)
set(45,0,730000,250,0)pr
set(10,0,735000,250,0)p
set(10,0,740000,250,0)p
set(10,0,745000,250,0)p
set(10,0,750000,250,0)p
set(31,0,750000,250,0)pr
set(23,0,752500,250,180)p

set(23,0,801000,250,0)p
set(31,0,803000,250,0)pr
set(23,0,804500,250,180)p
set(23,0,833000,250,0)p
set(10,0,835000,250,0)p

set(10,0,840000,250,0)p
set(20,0,845000,250,180)p
set(55,0,850000,250,0)pr
set(15,0,850600,250,0)p
set(15,0,856000,250,0)p
set(33,0,857000,250,0)p
set(15,0,861500,250,0)p
set(15,0,867000,250,0)
set(33,0,867000,250,0)p
set(15,0,872500,250,0)p
set(15,0,878000,250,0)p
set(35,0,880000,250,0)p
set(21,0,883600,250,0)p
set(18,0,889000,250,0)p
set(18,0,894500,250,0)p
set(18,0,900000,250,0)p
set(22,0,903350,250,0)p
set(10,0,906700,250,0)p
set(10,0,910000,250,0)
set(52,0,910000,250,0)pr
set(10,0,915000,250,0)p
set(10,0,920000,250,0)p
set(23,0,922500,250,180)p

chk(40,0,1000000,250,0)
set(40,0,1000000,250,0)p
chk(40,0,1000000,250,0)

maxr(0,1000,0)
maxl(0,-1000,0)
maxt(0,1000000,0)
maxb(0,-20000,0)
