snap(-15,-25,-35)
sky(255,180,40)
ground(100,75,50)
polys(105,80,55)
clouds(166,166,166,5,-500)
mountains(8421504)
fadefrom(0)
name(Madness In The Sky)
nlaps(1)

set(77,-1200000000,1200000000,-300000000,-45)

set(47,0,0,250,0)
set(10,0,5600,250,0)p
set(52,350,5600,250,0)
set(52,-350,5600,250,0)
set(52,0,5600,250,0)pr
set(23,0,7000,250,180)
set(10,0,11000,-1250,0)p
set(10,1600,11000,-1250,0)
set(23,1600,9000,-1250,0)
set(10,-1600,11000,-1250,0)
set(23,-1600,9000,-1250,0)
set(10,0,14000,-1250,0)p
set(10,1600,14000,-1250,0)
set(10,-1600,14000,-1250,0)
set(23,1600,21000,-1250,180)
set(23,-1600,21000,-1250,180)
set(10,0,19000,-1250,0)p
set(10,1600,19000,-1250,0)
set(10,-1600,19000,-1250,0)
chk(40,0,22000,-1250,0)
set(22,0,22000,-1000,90)
set(22,0,22000,-750,90)
set(22,0,22000,-500,90)
set(22,0,22000,-250,90)
set(22,0,22000,0,90)
set(31,0,25000,-1250,0)pr
set(10,0,24000,-1250,0)
set(31,0,35000,-4250,0)pr
set(45,2000,35000,-4250,0)
set(28,-2000,35000,-4250,0)
set(10,0,34000,-4250,0)
set(10,2000,34000,-4250,0)
set(10,-2000,34000,-4250,0)
set(23,0,32000,-4250,0)
set(23,2000,32000,-4250,0)
set(23,-2000,32000,-4250,0)

set(23,0,28000,250,0)
set(31,0,30000,250,0)pr
set(31,0,35000,-1500,0)pr
set(23,0,31500,250,180)

set(38,-2000,38000,-5000,0)
set(38,-2000,38300,-5000,0)
set(38,-2000,38600,-5000,0)
set(38,-2000,38900,-5000,0)
set(38,-2000,39200,-5000,0)
set(38,-2000,39500,-5000,0)
set(38,-2000,39800,-5000,0)
set(38,-2000,40100,-5000,0)

fix(41,0,53750,-5000,0)

set(37,2000,44000,-5000,0)
set(37,2100,45000,-5000,0)
set(37,2000,46000,-5000,0)
set(37,1900,47000,-5000,0)
set(37,2000,48000,-5000,0)

set(28,-2000,45000,-5000,0)
set(10,-2000,40000,-5000,0)
set(45,2000,41000,-5000,0)
set(10,2000,40000,-5000,0)
set(45,2000,46000,-5000,180)
set(10,2000,45000,-5000,0)
set(10,-2000,45000,-5000,0)p
set(10,-500,50500,-5000,-30)
set(10,500,50500,-5000,30)
set(10,-500,55500,-5000,-30)
set(10,500,55500,-5000,30)
set(12,-500,50500,-5000,-30)p
set(13,500,50500,-5000,30)p
set(12,-500,55500,-5000,-30)p
set(13,500,55500,-5000,30)p
set(10,0,60000,-5000,0)
chk(40,0,60000,-5000,0)
set(14,0,64000,-5000,0)pt
set(14,0,64000,-5000,0)
set(20,4000,64000,-5000,90)
set(35,11600,64000,-5000,90)pr
set(15,9600,64000,-5000,90)p
set(24,12400,64000,-5000,-90)
set(45,21600,64000,-4500,90)p
fix(41,16600,64000,-6500,90)
set(45,21600,63000,-4500,90)
set(45,21600,65000,-4500,90)
set(10,26600,64000,-4500,90)p
set(10,26600,65000,-4500,90)
set(10,26600,63000,-4500,90)
set(22,26600,61300,-11500,90)
set(22,26600,61300,-11250,90)
set(22,26600,61300,-11000,90)
set(22,26600,61300,-10750,90)
set(22,26600,61300,-10500,90)
set(22,26600,61300,-10250,90)
set(22,26600,61300,-10000,90)
set(22,26600,61300,-9750,90)
set(22,26600,61300,-9500,90)
set(22,26600,61300,-9250,90)
set(22,26600,61300,-9000,90)
set(22,26600,61300,-8750,90)
set(22,26600,61300,-8500,90)
set(22,26600,61300,-8250,90)
set(22,26600,61300,-8000,90)
set(22,26600,61300,-7750,90)
set(22,26600,61300,-7500,90)
set(22,26600,61300,-7250,90)
set(22,26600,61300,-7000,90)
set(22,26600,61300,-6750,90)
set(22,26600,61300,-6500,90)
set(22,26600,61300,-6250,90)
set(22,26600,61300,-6000,90)
set(22,26600,61300,-5750,90)
set(22,26600,61300,-5500,90)
set(22,26600,61300,-5250,90)
set(22,26600,61300,-5000,90)
set(22,26600,61300,-4750,90)
set(22,26600,61300,-4500,90)
