name(Example Stage - with all the parts used in it)
snap(-65,-53,-36)
sky(255,255,255)
ground(192,188,212)
polys(192,188,212)
clouds(255,255,255,3,-1437)
texture(0,82,255,31)
fadefrom(0)
mountains(18969)
nlaps(1)
lights()
stars()

set(61,-1200000000,-1200000000,-400000000,-45)

set(47,0,0,250,0)
set(10,0,0,250,0)p
set(10,0,5600,250,0)p
set(10,0,11200,250,0)p
set(10,0,16800,250,0)p
chk(40,0,17075,250,0)
set(14,0,21350,250,0)pt
set(22,2310,21350,250,90)p
set(18,5670,21350,250,90)pr
set(36,7310,23160,250,0)pr
set(36,9270,23160,250,0)
set(18,11270,21350,250,90)p
set(19,15820,21350,250,-90)pt
set(25,17274,17334,250,-90)
set(36,18357,17334,250,-90)pr
set(18,15820,16800,250,180)p
set(36,18357,15374,250,-90)
set(25,17274,15374,250,-90)
set(36,18357,13414,250,-90)
set(25,17274,13414,250,-90)
set(18,15820,11200,250,0)p
set(21,15820,5600,250,0)p
chk(42,15820,1483,250,0)
set(15,15820,0,250,0)p
set(16,15820,-5600,250,0)p
set(35,16060,-10080,250,0)pr
set(44,15820,-11200,250,0)p
set(35,15610,-12270,250,0)pr
set(43,15820,-16800,250,180)p
set(44,15820,-22400,250,180)p
set(34,15820,-22460,250,0)
set(15,15820,-28000,250,0)p
set(20,15820,-33600,250,180)p
set(10,15820,-39200,250,180)p
chk(40,15820,-37160,250,0)
set(14,15820,-43750,250,180)pt
set(45,10761,-43750,250,90)p
set(45,6281,-43750,250,-90)p
set(10,1290,-43750,250,-90)pf
set(10,-4308,-43750,250,-90)pr
set(31,-10417,-43750,250,90)pr
fix(41,-16320,-43750,-5000,90)
set(37,-17216,-43980,250,0)
set(23,-18032,-43750,250,90)p
set(37,-18524,-43750,250,-90)
set(37,-19876,-43616,250,0)
set(10,-20832,-43750,250,90)p
set(37,-21220,-43750,250,-90)
set(30,-25312,-43750,250,-90)
set(10,-31421,-43750,250,90)p

chk(40,-34221,-43750,250,90)
set(14,-35971,-43750,250,90)pt
set(11,-35971,-39200,250,0)p
set(13,-37491,-33570,250,30)p
chk(40,-39011,-30740,250,0)
set(12,-37491,-27910,250,-30)pr
set(38,-35971,-23204,250,0)
set(10,-35971,-22280,250,0)pr
set(38,-35971,-21776,250,0)
set(38,-35971,-20360,250,0)
set(38,-35971,-18680,250,0)
set(38,-35971,-16944,250,0)
set(10,-35971,-16680,250,0)pr
set(27,-35971,-13880,250,0)pr

set(23,-36375,-9731,250,-90)
