name(MASSIVE)
snap(19,10,-9)
sky(191,215,255)
ground(192,194,202)
polys(192,194,202)
clouds(255,255,255,6,-10000)
texture(0,0,0,50)
fadefrom(0)
mountains(64943)
nlaps(1)

set(77,0,0,-2000000000,0)

set(47,0,0,250,0)
set(15,0,0,250,0)p
set(15,0,5600,250,0)p
set(15,0,11200,250,0)p
set(35,0,11200,250,0)pr
set(15,0,16800,250,180)p
set(15,0,22400,250,0)p
set(15,0,28000,250,180)p
set(15,0,33600,250,180)p
set(20,0,39200,250,0)p
set(10,0,44800,250,0)p
set(13,-1520,50430,250,30)p
chk(40,-3040,53260,250,0)
set(14,-3040,55010,250,-90)pt
set(12,-7620,56530,250,-120)p
set(12,-13280,59570,250,60)p
set(12,-18940,62610,250,60)p
chk(40,-21770,64130,250,90)
set(20,-24570,64130,250,-90)p
set(15,-30170,64130,250,90)p
set(15,-35770,64130,250,-90)p
set(53,-36111,64130,250,90)pr
set(16,-41370,64130,250,90)p
set(16,-46970,64130,250,-90)p
set(44,-52570,64130,250,-90)p
set(43,-58170,64130,250,-90)p
set(43,-63770,64130,250,90)p
set(35,-66064,63815,250,90)pr
set(43,-69370,64130,250,90)p
set(43,-74970,64130,250,-90)p
set(44,-80570,64130,250,90)p
set(16,-86170,64130,250,90)p
set(20,-91770,64130,250,90)p
set(13,-97400,62610,250,120)p
set(13,-103060,59570,250,120)p
set(14,-107640,58050,250,0)pt
set(12,-109160,53470,250,-30)p
chk(40,-110680,50640,250,0)
set(13,-109160,47810,250,30)p
chk(40,-107640,44980,250,0)
set(12,-109160,42150,250,-30)p
set(14,-110680,37570,250,180)pt
set(13,-115260,36075,250,-60)p
set(10,-120898,34591,250,90)p
set(31,-123690,34591,250,90)pr
set(23,-124498,34591,250,-90)

fix(41,-148768,34591,-3000,90)
set(23,-148768,36240,250,90)
set(23,-148768,36240,250,-90)
set(23,-148768,32912,250,90)
set(23,-148768,32912,250,-90)
set(37,-148768,34591,250,-90)
set(51,-148768,36240,250,-90)
set(51,-148768,32912,250,-90)
set(51,-148768,36240,250,0)
set(51,-148768,32912,250,0)

set(23,-162160,34591,250,90)p
set(12,-164990,36111,250,60)p
set(12,-170650,39151,250,60)p
set(12,-176310,42191,250,60)p
chk(40,-179140,43711,250,90)
set(14,-180890,43711,250,90)pt
set(13,-182410,48291,250,210)p
set(13,-185450,53951,250,210)p
set(13,-188490,59611,250,210)p
set(10,-190010,65241,250,180)p
set(26,-190010,67026,250,0)pr
set(10,-190010,70841,250,0)p
set(10,-190010,76441,250,0)p
set(20,-190010,82041,250,180)p
set(44,-190010,87641,250,180)p
set(44,-190010,93241,250,0)p
set(21,-190010,98841,250,0)p
set(18,-190010,104341,250,0)p
set(18,-190010,109941,250,0)p
set(36,-191910,109941,250,90)
set(18,-190010,115441,250,0)p
set(22,-190010,118741,250,0)p
set(12,-188499,122141,250,-30)p
set(12,-185477,127822,250,-30)p
chk(40,-183965,130712,250,0)
set(14,-183965,132412,250,0)pt
set(13,-179373,133924,250,-60)p
set(13,-173773,136924,250,-60)p
set(54,-173773,136924,250,-60)p
set(54,-173773,136924,250,30)p
set(20,-168133,138436,250,90)p
set(15,-162533,138436,250,-90)p
set(15,-156933,138436,250,90)p
set(15,-151333,138436,250,90)p
set(15,-145733,138436,250,-90)p
set(15,-140133,138436,250,-90)p
set(15,-134533,138436,250,90)p
set(15,-128933,138436,250,-90)p
set(15,-123333,138436,250,90)p
set(15,-117733,138436,250,90)p
set(15,-112133,138436,250,-90)p
set(15,-106533,138436,250,90)p
set(15,-100933,138436,250,-90)p
set(15,-95333,138436,250,-90)p
set(15,-89733,138436,250,90)p
set(15,-84133,138436,250,90)p
set(62,-84133,138436,250,90)pr
set(62,-83633,138436,250,0)
set(62,-84633,138436,250,180)
set(63,-84633,138936,250,90)
set(63,-84633,137936,250,0)
set(62,-84133,138936,250,180)
set(62,-84133,137936,250,0)
set(63,-83633,138936,250,90)
set(62,-83633,137936,250,-90)
set(63,-83883,138686,125,0)
set(62,-83883,138186,125,90)
set(62,-84383,138686,125,90)
set(62,-84383,138186,125,0)
set(63,-84133,138436,0,90)
set(15,-78533,138436,250,90)p
set(15,-72933,138436,250,90)p
set(15,-67333,138436,250,-90)p
set(15,-61733,138436,250,-90)p
set(15,-56133,138436,250,90)p
set(15,-50533,138436,250,-90)p
set(15,-44933,138436,250,-90)p
set(15,-39333,138436,250,-90)p
set(15,-33733,138436,250,90)p
set(15,-28133,138436,250,-90)p
set(15,-22533,138436,250,90)p
set(15,-16933,138436,250,-90)p
set(15,-11333,138436,250,90)p
set(15,-5733,138436,250,-90)p
set(15,-133,138436,250,-90)p
set(15,5467,138436,250,-90)p
set(15,11067,138436,250,90)p
set(15,16667,138436,250,-90)p
set(20,22267,138436,250,-90)p
chk(40,24267,138436,250,90)
set(12,27909,136925,250,60)p
set(12,33592,133902,250,60)p
set(14,38184,132391,250,-90)pt
set(13,39696,127799,250,30)p
set(10,41208,122158,250,0)p
set(10,41208,116558,250,0)p
set(10,41208,110958,250,0)p
set(32,41608,109958,250,180)pr
set(32,40808,103958,250,180)
set(32,41608,101958,250,180)
set(10,41208,105358,250,0)p
set(10,41208,99758,250,0)p
set(10,41208,94158,250,0)p
set(10,41208,88558,250,0)p
set(10,41208,82958,250,180)p
set(10,41208,77358,250,180)p
set(10,41208,71758,250,0)p
set(10,41208,66158,250,180)p
set(10,41208,60558,250,0)p
set(10,41208,54958,250,180)p
set(10,41208,49358,250,180)p
set(10,41208,43758,250,180)p
set(10,41208,38158,250,180)p
set(10,41208,32558,250,180)p
set(10,41208,26958,250,180)p
set(10,41208,21358,250,180)p
set(52,41208,19358,250,180)pr
set(23,41208,19358,250,0)
fix(41,41208,10000,-3500,0)s
fix(41,42408,11000,-3500,0)
fix(41,42408,13000,-3500,90)
fix(41,40008,11000,-3500,0)
fix(41,40008,13000,-3500,90)
fix(41,41208,11000,-4500,0)
fix(41,41208,13000,-2500,0)

set(24,41208,-19365,250,0)p
set(16,41208,-22160,250,0)p
set(44,41208,-27760,250,0)p
set(43,41208,-33360,250,0)p
set(53,41208,-33360,250,0)p
set(44,41208,-38960,250,180)p
set(20,41208,-44560,250,180)p
set(12,39696,-50200,250,-30)p
set(14,38184,-54792,250,180)pt
set(13,33595,-56305,250,-60)p
set(10,27955,-57817,250,-90)p
chk(40,27955,-57817,250,90)
set(10,22355,-57817,250,-90)p
set(22,19050,-57817,250,-90)p
set(18,15745,-57817,250,90)p
set(18,10145,-57817,250,-90)p

set(25,5700,-58617,250,0)
set(36,5700,-60417,250,180)
set(25,5700,-57017,250,180)
set(36,5700,-55217,250,0)

set(18,4545,-57817,250,-90)p

set(25,3800,-58617,250,0)
set(36,3800,-60417,250,180)
set(25,3800,-57017,250,180)
set(36,3800,-55217,250,0)

set(25,1900,-58617,250,0)
set(36,1900,-60417,250,180)
set(25,1900,-57017,250,180)p
set(36,1900,-55217,250,0)pr

set(18,-1055,-57817,250,90)p

set(25,-1900,-58617,250,0)
set(36,-1900,-60417,250,180)
set(25,-1900,-57017,250,180)
set(36,-1900,-55217,250,0)

set(25,-3800,-58617,250,0)p
