name(The Fast & The Furious + The Radical)
snap(-40,-60,48)
sky(215,208,182)
ground(205,213,226)
polys(205,213,226)
clouds(255,255,255,7,-1343)
texture(204,0,255,20)
fadefrom(0)
mountains(39233)
lights()
nlaps(3)

set(61,600000000,-600000000,-200000000,45)

set(47,0,0,250,0)p
set(15,0,5600,250,0)p
set(15,0,11200,250,0)
set(34,0,11200,250,180)pr
set(15,0,16800,250,0)p
set(21,0,22400,250,0)p
set(18,0,28000,250,0)p
set(22,0,31360,250,0)p
set(10,0,34720,250,180)pr
set(28,0,38829,250,0)pr
set(23,0,40509,250,180)pr
set(23,0,47600,250,0)p
set(10,0,50400,250,180)p
set(10,0,56000,250,180)p
set(10,0,61600,250,180)p
set(10,0,67200,250,180)p
set(22,0,70560,250,0)
chk(40,0,70850,250,0)
set(19,0,72870,250,0)pt
set(18,4550,72870,250,90)p
set(21,10150,72870,250,90)p
set(15,15750,72870,250,90)
set(35,15750,72870,250,90)pr
set(15,21350,72870,250,90)p
set(16,26950,72870,250,-90)p
set(20,32550,72870,250,-90)p
set(29,37514,72870,250,-90)p
set(10,42478,72870,250,-90)p
set(10,48078,72870,250,-90)p
set(10,53678,72870,250,90)p
set(10,59278,72870,250,90)
chk(40,61028,72870,250,90)
set(14,63828,72870,250,-90)pt
set(10,63828,68320,250,0)p
set(31,63828,62211,250,180)pr
set(23,63828,60531,250,0)

set(24,63828,53200,250,0)p
set(16,63828,50400,250,180)p
set(15,63828,44800,250,0)p
set(15,63828,39200,250,0)p
set(33,63828,45800,250,0)
set(33,63828,42800,250,0)

set(15,63828,33600,250,0)p
set(15,63828,28000,250,0)p
set(15,63828,22400,250,0)
set(34,63828,22400,250,0)pr
set(15,63828,16800,250,0)p
fix(41,63828,16800,-2000,0)
set(15,63828,11200,250,0)p
set(16,63828,5600,250,0)p
set(15,63828,0,250,0)
chk(42,63828,0,250,0)
set(17,63828,-4450,250,180)pt
set(20,59278,-4450,250,90)p
set(10,53678,-4450,250,90)p
set(28,48714,-4450,250,90)pr
set(10,43750,-4450,250,90)p
set(10,38150,-4450,250,-90)p
set(10,32550,-4450,250,-90)p
set(45,26441,-4450,250,90)pr
set(78,24500,-4450,250,90)pr
set(23,24761,-4450,250,-90)p

set(23,18550,-4450,250,90)p
set(10,15750,-4450,250,-90)p
set(20,10150,-4450,250,-90)p
set(15,4550,-4450,250,90)p
chk(42,1750,-4450,250,90)
set(17,0,-4450,250,90)pt
set(15,0,0,250,0)p

set(65,1872,4280,250,0)
set(65,-1960,31592,250,90)
set(65,-1760,67748,250,180)
set(65,25104,74568,250,-90)
set(65,56616,70996,250,0)
set(65,65508,56016,250,90)
set(65,61084,43088,250,180)
set(65,66032,13408,250,-90)
set(65,61588,-2396,250,0)
set(65,41632,-6276,250,90)
set(66,-1956,616,250,180)
set(66,-1928,22616,250,-90)
set(66,1712,46716,250,0)
set(66,6576,71228,250,90)
set(66,49032,74184,250,180)
set(66,62036,65484,250,-90)
set(66,65840,32156,250,0)
set(66,31980,-2924,250,90)
set(67,5472,-6384,250,-90)
set(67,-1728,8112,250,0)
set(67,1828,28048,250,90)
set(67,-1948,49912,250,180)
set(67,1372,62776,250,-90)
set(67,18836,74712,250,0)
set(67,36064,70968,250,90)
set(67,65256,68232,250,180)
