snap(-75,-75,-75)
sky(300,300,300)
ground(0,0,0)
texture(1000,1000,1000,9999)
clouds(255,255,255,0,-1000)
mountains(10000)
fadefrom(0)
lights()
stars()
name(The End)
nlaps(1)

set(61,2000000000,0,-550000000,90)

//N
set(10,0,2000,250,0)p
set(10,0,6600,250,0)p
chk(40,0,9600,250,0)
set(14,0,11000,250,0)pt
set(12,3040,8380,250,30)p
set(12,6448,2922,250,30)p
set(14,9488,302,250,180)pt
chk(40,9488,1702,250,0)
set(10,9488,4702,250,0)
chk(40,9488,9302,-500,0)
set(10,9488,9302,-500,0)
set(10,9488,9302,-250,0)
set(10,9488,9302,0,0)
set(10,9488,9302,250,0)p

//E
set(18,14688,11302,-500,90)
set(18,11488,1962,-500,0)
set(18,14688,0,-500,90)
set(18,11488,9302,-500,0)
set(18,11488,3702,-500,0)
chk(40,15488,6500,-500,90)
set(18,13488,6500,-500,90)
set(22,15488,6500,-250,90)p
set(22,15488,6500,0,90)p

//E
set(10,20688,11302,250,90)
set(10,18488,1962,250,0)
set(10,21688,0,250,90)
set(10,18488,9302,250,0)
set(10,18488,3702,250,0)
set(10,20488,6500,250,90)p
chk(40,20488,6500,250,90)
set(27,22488,6500,250,-90)

//D
set(17,24588,11502,-500,0)
set(15,24588,7502,-500,0)
set(15,24588,5302,-500,0)
set(17,24588,1000,-500,90)
set(15,28100,10222,-500,60)
set(15,28100,2200,-500,-60)
set(37,27000,7000,-1250,90)
set(37,27000,6700,-1250,90)
set(37,27000,6000,-1250,90)
set(37,27000,5700,-1250,90)
set(37,27000,7000,-500,90)
set(37,27000,6700,-500,90)
set(37,27000,6000,-500,90)
set(37,27000,5700,-500,90)
set(37,27000,7000,250,90)
set(37,27000,6700,250,90)
set(37,27000,6000,250,90)
set(37,27000,5700,250,90)
chk(42,31000,6500,-500,90)
set(15,30000,7000,-500,0)p
set(15,30000,5200,-500,0)p
set(24,31000,6500,-250,0)
set(24,31000,6500,-250,180)
set(24,31000,6500,0,0)
set(24,31000,6500,0,180)

//F
set(18,39688,11302,250,90)
set(18,36488,1962,250,0)
set(18,36488,9302,250,0)
set(18,36488,3702,250,0)
set(18,38488,6500,250,90)p
chk(40,40488,6500,250,90)

//O
chk(40,43988,0,250,0)
set(10,43988,1962,250,0)p
//set(48,43218,1962,250,0)
//set(48,43218,6500,250,0)
//set(48,43218,9302,250,0)
set(10,43988,3702,250,0)p
set(10,43988,9302,250,0)p
chk(40,43988,11302,250,0)
set(10,47188,11302,250,90)p
chk(40,49988,11302,250,0)
set(10,49988,9302,250,0)p
set(10,49988,5000,250,0)p
set(10,49988,1962,250,0)p
chk(40,49988,0,250,0)
set(10,46988,0,250,90)

//R
set(15,52488,1962,250,0)p
chk(42,52488,1962,250,0)
set(15,52488,3702,250,0)p
set(15,52488,9302,250,0)p
chk(42,52488,11302,250,-45)
set(15,55688,11302,250,90)p
chk(42,58488,11302,250,45)
set(15,58488,9302,250,0)p
chk(42,58488,6500,250,-45)
set(15,56388,6500,250,90)
set(15,56088,6500,250,90)p
chk(42,55088,6500,250,-45)
set(15,55358,3792,250,45)p
set(15,57258,1892,250,45)p
chk(42,57258,1892,250,45)


//M
chk(40,67000,2000,250,0)
set(10,67000,2000,250,0)p
set(10,67000,7600,250,0)p
chk(40,67000,10600,250,0)
set(14,67000,12000,250,0)pt
set(12,69040,9280,250,20)p
set(12,71448,3312,250,20)p
chk(40,71448,3312,250,20)
chk(40,73408,3312,250,-20)
set(13,73408,3312,250,-20)p
set(13,75816,9280,250,-20)p
set(14,77816,12000,250,-90)pt
chk(40,77816,10600,250,0)
set(10,77816,7600,250,0)p
set(10,77816,2000,250,0)p
chk(40,77816,2000,250,0)

//A
set(10,83378,6500,250,90)
set(26,82378,6500,250,-90)
set(26,84378,6500,250,90)
chk(40,79888,1962,250,-20)
set(12,79888,1962,250,-20)p
chk(40,81878,8090,250,-20)
set(12,81878,8090,250,-20)p
chk(40,84878,8090,250,20)
set(13,84878,8090,250,20)p
chk(40,86868,1962,250,20)
set(13,86868,1962,250,20)p

//D
set(19,88988,11502,250,0)
set(18,88988,7502,250,0)p
chk(40,89888,6402,250,90)
set(49,89888,6402,250,180)pr
set(18,88988,5302,250,0)
set(19,88988,1000,250,90)
set(18,92500,10222,250,60)
set(18,92500,2200,250,-60)
set(18,94400,7000,250,0)p
set(18,94400,5200,250,0)p
set(36,96300,6500,250,-90)
chk(40,95400,6500,250,90)

//N
set(10,96500,2000,-500,0)p
set(10,96500,6600,-500,0)p
set(22,96500,9600,-250,0)
set(22,96500,9600,0,0)
chk(40,96500,9600,-500,0)
set(14,96500,11000,-500,0)pt
chk(40,99540,8380,-500,30)
set(12,99540,8380,-500,30)p
set(10,99540,8380,-500,30)
set(22,99540,8380,-250,0)
set(22,99540,8380,0,0)
chk(40,102948,2922,-500,30)
set(12,102948,2922,-500,30)p
set(10,102948,2922,-500,30)
set(22,102948,2922,-250,30)
set(22,102948,2922,0,30)
chk(40,105988,1702,-500,0)
set(14,105988,302,-500,180)pt
set(22,105988,1702,-250,0)
set(22,105988,1702,0,0)
set(10,105988,4702,-500,0)p
