snap(0,-15,-55)
sky(204,214,255)
ground(193,185,180)
polys(193,185,180)
clouds(204,214,255,2,-1140)
texture(196,142,46,20)
fadefrom(0)
mountains(826487)

name(Maximum Overfly)
nlaps(3)

set(77,0,1200000000,-500000000,0)

set(47,0,0,250,0)
set(10,0,0,250,0)p
set(10,0,5600,250,0)p
set(10,0,11200,250,0)p
set(10,0,16000,250,0)p
set(31,0,20109,250,0)pr
set(23,0,21789,250,180)p

set(24,0,30800,250,180)p
set(15,0,33600,250,0)p
set(15,0,39200,250,0)p
set(15,0,44800,250,0)p
set(15,0,50400,250,0)
chk(42,0,47600,250,0)
set(17,0,54950,250,0)pt
set(44,4550,54950,250,90)p
set(43,10150,54950,250,90)p
set(43,15750,54950,250,90)p
set(35,14800,55450,250,90)p
set(35,16400,54450,250,-90)pr
set(43,21350,54950,250,90)p
set(43,26950,54950,250,-90)p
chk(42,32000,54950,250,90)
set(44,32550,54950,250,-90)p
set(17,37100,54950,250,180)pt
set(17,37100,58450,250,-90)pt
set(44,32550,58450,250,-90)p
set(43,26950,58450,250,-90)
set(53,26950,58450,250,90)pr
set(43,21350,58450,250,-90)p
set(43,15750,58450,250,90)p
set(44,10150,58450,250,90)p
chk(42,7150,58450,250,90)
set(17,5600,58450,250,90)pt
set(17,5600,61950,250,0)pt
set(44,10150,61950,250,90)p
set(43,15750,61950,250,-90)p
set(43,21350,61950,250,90)p
set(43,26950,61950,250,90)
set(33,26950,61950,250,90)pr
set(43,32550,61950,250,-90)
set(33,32550,61950,250,90)pr
set(43,38150,61950,250,90)
set(33,38150,61950,250,90)pr
set(43,43750,61950,250,90)
set(33,43750,61950,250,90)pr
set(44,49350,61950,250,-90)p
set(16,54950,61950,250,-90)p
set(17,59500,61950,250,180)pt
set(15,59500,66500,250,0)
chk(42,59500,66500,250,0)
set(15,59500,72100,250,0)p
set(15,59500,77700,250,180)p
set(15,59500,83300,250,0)pr
set(35,59500,85400,250,180)pr
set(24,59500,86100,250,0)p

set(23,59500,92100,250,0)p
set(10,59500,94900,250,0)p
set(10,59500,100500,250,0)p
set(14,59500,105050,250,0)pt
set(10,64050,105050,250,90)p
set(10,69650,105050,250,-90)p
set(10,75250,105050,250,-90)
chk(40,77250,105050,250,90)
set(14,79800,105050,250,-90)pt
set(10,79800,100500,250,0)p
set(14,79800,95950,250,180)pt
set(10,75250,95950,250,90)p
set(10,69650,95950,250,-90)pr
set(31,63541,95950,250,90)pr
set(23,62861,95950,250,-90)

set(23,56139,95950,250,90)
set(31,55459,95950,250,-90)p
set(10,49350,95950,250,90)p
set(10,43750,95950,250,90)p
set(10,38150,95950,250,-90)p
set(10,32550,95950,250,90)p
set(10,26950,95950,250,90)
chk(40,26950,95950,250,90)
set(14,22400,95950,250,0)pt
set(10,22400,91400,250,0)p
set(78,22400,91200,250,0)
set(10,22400,85800,250,180)p
set(10,22400,80200,250,0)p
set(10,22400,74600,250,180)p
set(10,22400,72600,250,0)pr
set(50,22400,69491,250,180)pr
set(23,22400,69000,250,0)p

set(23,22400,50500,250,180)p
set(45,22400,48820,250,0)p
set(10,22400,42711,250,0)p
set(10,22400,37111,250,0)p
set(10,22400,31511,250,0)p
set(31,22400,25402,250,180)
set(10,22400,22400,250,0)p
set(10,22400,16800,250,0)p
set(10,22400,11200,250,180)p
set(10,22400,5600,250,180)p
set(10,22400,0,250,0)
chk(40,22400,0,250,0)
set(14,22400,-4550,250,180)pt
set(10,17850,-4550,250,90)
set(10,12250,-4550,250,90)
set(10,8400,-4550,250,-90)
set(10,4550,-4550,250,-90)
set(14,0,-4550,250,90)

set(24,9000,14000,250,180)pf
set(15,9000,16800,250,0)p
set(15,9000,22400,250,180)p
set(15,9000,28000,250,180)
set(34,9000,28000,250,180)pr
fix(41,9000,31200,-2100,0)
set(15,9000,33600,250,0)
set(34,9000,33600,250,180)p
set(15,9000,39200,250,180)p
set(15,9000,44800,250,0)p
set(24,9000,47600,250,0)p

fix(41,40950,61950,-600,90)

set(44,32550,67950,250,90)
set(43,38150,67950,250,90)
set(43,43750,67950,250,90)
set(44,49350,67950,250,-90)
set(17,53900,67950,250,180)
set(44,53900,72500,250,180)
set(43,53900,78100,250,180)
set(44,53900,83700,250,0)
set(17,53900,88250,250,-90)
set(44,49350,88250,250,-90)
set(43,43750,88250,250,90)
set(43,38150,88250,250,-90)
set(44,32550,88250,250,90)
set(17,28000,88250,250,0)
set(44,28000,83700,250,0)
set(43,28000,78100,250,180)
set(44,28000,72500,250,180)
set(17,28000,67950,250,90)

set(65,1299,1935,250,0)
set(66,-1172,1957,250,-90)
set(67,-1963,5106,250,0)
set(66,1500,6782,250,90)
set(65,-1734,16427,250,-90)
