
name(Rolling Dark)

snap(-25,-5,15)
sky(109,137,252)
fog(117,223,255)
clouds(220,230,255,1)
ground(149,182,198,0,-0.1,0.2) //ground(r,g,b,textureNum,addedHueChangeFactor,addedSatChangeFactor) 198, 167, 149
distfog(9000)
addon(1)

tip(This stage is definitely meant for racing but you will need to)
tip(hit the quarter pipes and learn to use them to perform stunts)
tip(to keep your power up! Also take care because it seems that)
tip(MASHEEN has gone rouge and is driving the track in the)
tip(opposite direction!)

nlaps(2)


set(47,0,0,0)p
set(10,0,5600,0)p
set(14,0,10150,0)pt
set(10,4550,10150,-90)p
set(10,10150,10150,-90)p
set(10,15750,10150,90)p
set(10,21350,10150,90)p


bnd(0,0,0,1)
set(49,11550,9440,90)
bnd(0,0,0,1)
set(49,11550,10840,-90)
bnd(0,0,1,1)
set(49,14350,9440,90)
bnd(0,0,1,1)
set(49,14350,10840,-90)
bnd(0,0,1,1)
set(49,17150,9440,90)
bnd(0,0,1,1)
set(49,17150,10840,-90)
bnd(0,0,1,1)
set(49,19950,9440,90)
bnd(0,0,1,1)
set(49,19950,10840,-90)
bnd(0,0,1,1)
set(49,22750,9440,90)
bnd(0,0,1,1)
set(49,22750,10840,-90)
bnd(0,0,1,0)
set(49,25550,10840,-90)
bnd(0,0,1,0)
set(49,25550,9440,90)

set(10,26950,10150,-90)p
set(10,32550,10150,-90)p
set(14,37100,10150,180)
chk(40,35600,10140,90)

set(10,37100,14700,180)
set(26,37100,14534,0)pr
set(26,37100,15734,180)

set(22,37100,18060,180)p
set(18,37100,21420,180)p
set(22,37100,24780,0)p
set(13,35580,28170,30)p
set(14,34060,32750,-90)pt
set(10,29510,32750,-90)p
set(23,26710,32750,-90)p


set(23,20650,32550,90)
chk(40,21167,32550,90)
set(10,17850,32550,-90)p
set(10,12250,32550,-90)p
set(10,6650,32550,90)p
set(10,1050,32550,90)p

bnd(0,0,1,0)
set(49,12940,33250,-90)
bnd(0,0,1,0)
set(49,12940,31850,90)
bnd(0,0,1,1)
set(49,10140,33250,-90)
bnd(0,0,1,1)
set(49,10140,31850,90)
bnd(0,0,1,1)
set(49,7340,33250,-90)
bnd(0,0,1,1)
set(49,7340,31850,90)
bnd(0,0,1,1)
set(49,1740,33250,-90)
bnd(0,0,1,1)
set(49,1740,31850,90)
bnd(0,0,1,1)
set(49,4540,33250,-90)
bnd(0,0,1,1)
set(49,4540,31850,90)
bnd(0,0,1,1)
set(49,-1060,33250,-90)
bnd(0,0,1,1)
set(49,-1060,31850,90)
bnd(0,0,1,1)
set(49,-3860,31850,90)
bnd(0,0,1,1)
set(49,-3860,33250,-90)
bnd(0,0,1,1)
set(49,-9460,31850,90)
bnd(0,0,1,1)
set(49,-6660,33250,-90)
bnd(0,0,1,1)
set(49,-6660,31850,90)
bnd(0,0,1,1)
set(49,-9460,33250,-90)
bnd(0,0,1,1)
set(49,-12260,31850,90)
bnd(0,0,1,1)
set(49,-12260,33250,-90)
bnd(0,0,0,1)
set(49,-15060,33250,-90)
bnd(0,0,0,1)
set(49,-15060,31850,90)

set(10,-4550,32550,90)p
set(10,-10150,32550,90)p
set(10,-15750,32550,-90)p



// split roads
set(23,-24150,32550,90)p
set(10,-26950,32550,90)p
set(28,-31914,32550,90)pr
set(10,-36878,32550,90)p 
fix(41,-35000,32550,-500,90)
set(10,-42478,32550,90)
set(13,-48108,31030,-60)

//
set(13,-21380,31030,-60)p 
set(10,-27010,29510,90)p
set(10,-31338,29510,-90)
set(31,-30700,29510,90)pr
set(10,-36938,29510,-90)p
set(10,-42538,29510,-90)p
set(23,-45338,29510,-90)p

//merged:


set(10,-53738,29510,-90)p
set(10,-59338,29510,90)p
chk(40,-61338,29510,90)
set(14,-63888,29510,0)pt
set(10,-63888,24960,0)p
set(10,-63888,19360,180)p

set(32,-63538,19360,180)
set(32,-63538,18200,0)

set(10,-63888,13760,0)

set(32,-64238,13760,180)pr
set(32,-64238,12600,0)

set(10,-63888,8160,0)p
set(10,-63888,2560,0)p 
set(10,-63888,-3040,180)
chk(40,-63888,-3040,0) 
set(10,-63888,-8640,180)p
set(12,-65408,-14270,-30)p
set(22,-66928,-17660,0)
set(19,-66928,-19970,180)
set(18,-71478,-19970,90)
set(36,-67600,-20700,180)ph

set(23,-68200,-22000,90)p
set(10,-71000,-22000,90)p
set(23,-73800,-22000,-90)

set(19,-76028,-19970,90)pt
set(22,-76028,-17660,0)
set(10,-76028,-14300,180)p
chk(40,-76028,-16000,0)
set(14,-76028,-9750,0)pt
set(10,-71478,-9750,90)p
set(22,-68118,-9750,90)pr

set(23,-66700,-9750,90)
set(29,-67200,-9750,90)

set(23,-61076,-9750,-90)
set(22,-60516,-9750,90)p
set(22,-59396,-9750,-90)
set(23,-58836,-9750,90)p

set(23,-53104,-9750,-90)p
set(22,-52600,-9750,90)
set(22,-51480,-9750,90)
set(22,-50360,-9750,-90)p
set(10,-47000,-9750,90)p
set(13,-41370,-8230,-60)p
set(22,-37980,-6710,90)
set(19,-35670,-6710,180)pt
set(18,-35670,-2160,0)
set(36,-34940,-6038,-90)ph

set(23,-33640,162,180)p
set(10,-33640,-2638,0)
set(23,-33640,-5438,0)

set(19,-35670,2390,-90)pt
set(18,-40220,2390,-90)
chk(40,-40220,2390,90)
set(18,-45820,2390,90)p
set(18,-51420,2390,90)p
set(19,-55970,2390,0)pt
set(18,-55970,-2160,0)p
set(18,-55970,-7760,0)
set(22,-55970,-11120,180)
set(22,-55970,-12240,0)
set(18,-55970,-15600,180)p
set(18,-55970,-21200,0)p
