
name(It's a Trap!)

snap(20,-10,-20)
sky(121, 141, 252)
fog(227,166,147)
clouds(252,152,121,1)
ground(200,180,141,1,-0.1,0.2)
lightswingZ(10)
distfog(11700)
addon(1)

tip(It is very difficult to finish this stage by wasting as MASHEEN)
tip(is very strong. And if you will race; watch out because he has)
tip(setup traps were he waits in places; hiding to then suddenly) 
tip(come out to waste anyone passing by! So it is never a bad)
tip(idea to sometimes slow down or turn away!)

nlaps(4)

set(47,0,0,0)p
set(10,0,5600,0)p
set(10,0,11200,180)p
set(31,0,17309,0)p
set(10,0,21789,180)p
set(10,0,27389,180)p
set(10,0,32989,0)p

set(37,100,25000,0)
set(37,-100,26000,0)
set(37,100,27000,0)
set(37,-100,28000,0)
set(10,0,38589,0)
chk(40,0,38589,0)
set(10,0,44189,0)p
set(14,0,48739,-90)pt
set(20,-4550,48739,-90)p
set(15,-10150,48739,-90)p
set(15,-15750,48739,90)p
set(15,-21350,48739,-90)p
set(15,-26950,48739,90)p
set(15,-32550,48739,-90)p
set(33,-10150,48739,-90)
set(33,-15750,48739,90)
set(33,-21350,48739,-90)
set(33,-26950,48739,90)
set(33,-32550,48739,-90)p
set(15,-38150,48739,90)
chk(42,-38000,48739,90)
set(33,-40000,48739,-90)
set(20,-43750,48739,90)p
set(14,-48300,48739,0)pt
set(10,-48300,44189,0)p
set(10,-48300,38589,0)p
set(31,-48300,32480,180)p
set(10,-48300,28000,180)p
set(10,-48300,22400,0)p
fix(41,-48300,23000,-5500,0)
set(10,-48300,16800,0)p
set(10,-48300,11200,180)p
set(10,-48300,5600,180)
chk(40,-48300,5600,0)
set(10,-48300,0,0)p
set(14,-48300,-4550,90)pt
set(14,-44800,-4550,180)pt
set(10,-44800,0,0)p
set(10,-44800,5600,0)p
set(10,-44800,11200,0)
set(27,-44800,11200,0)pr
set(10,-44800,16800,0)p
set(10,-44800,22400,0)p
set(22,-44800,25760,180)
set(18,-44800,29120,180)p
set(18,-44800,34720,180)
chk(40,-44800,34720,0)
set(18,-44800,40320,0)p
set(19,-44800,44870,0)pt
set(21,-40250,44870,90)p
set(15,-34650,44870,90)
set(34,-34650,44870,90)pr
set(15,-29050,44870,90)p
set(15,-23450,44870,-90)p
set(33,-27300,44870,90)
set(33,-21700,44870,-90)
set(16,-17850,44870,-90)p
set(21,-12250,44870,-90)p
set(18,-8050,44870,-90)
set(19,-3500,44870,-90)p 
set(18,-3500,40320,0)
chk(40,-3500,39000,0)
set(18,-3500,34720,180)p
set(22,-3500,31360,180)
set(10,-3500,28000,180)p
set(10,-3500,22400,0)p
set(10,-3500,16800,180)
set(26,-3500,16800,180)pr
set(10,-3500,11200,0)p
set(10,-3500,5600,0)p
set(10,-3500,0,0)p
set(14,-3500,-4550,90)
chk(40,-3500,-2800,0)
set(14,0,-4550,180)p


set(38,-44800,14000,0)
set(38,-44800,16000,0)
set(38,-44800,18000,0)
set(38,-44800,20000,0)

set(38,-3500,36000,0)
set(38,-3500,33000,0)
set(38,-3500,30000,0)
set(38,-3500,27000,0)
set(38,-3500,24000,0)
set(38,-3500,21000,0)


set(23,-46550,1000,0)
set(23,-46550,1000,180)
set(37,-46550,1600,90)
set(37,-46550,400,90)

set(17,-22400,40000,-90)po
set(44,-22400,35450,0)p
set(43,-22400,29850,180)p
set(43,-22400,24250,0)p
set(44,-22400,18650,180)
set(35,-22400,18650,0)p
set(21,-22400,13050,180)p
set(18,-22400,7450,180)
fix(41,-22400,16700,-1000,0)s
set(18,-22400,1850,180)p
set(19,-22400,-2700,180)p
set(19,-25900,-2700,90)
set(18,-25900,1850,180)
set(18,-25900,7450,0)
set(18,-25900,13050,0)
set(21,-25900,18650,180)
set(15,-25900,24250,180)
set(16,-25900,29850,180)
set(15,-25900,35450,180)
set(17,-25900,40000,0)po


set(73,4350,-2800,0)
set(73,-2400,6175,180)
set(73,2850,3450,-90)
set(73,-6025,-2425,0)
set(73,4050,7125,180)
set(73,-1975,11975,-90)
set(73,2300,14500,0)
set(73,3525,20525,180)
set(73,-1950,23600,-90)
set(73,-1450,28425,0)
set(73,2225,29150,90)
set(73,-1950,33975,180)
set(73,2525,38850,-90)
set(73,-3200,47250,0)
set(73,-5475,51725,90)
set(73,-8975,46375,180)
set(73,-9325,42350,-90)
set(73,-7100,37725,0)
set(73,-12700,51050,90)
set(73,-7550,31975,0)
set(73,-6640,24004,90)
set(73,-20125,46250,180)
set(73,-22250,41975,-90)
set(73,-23475,50650,0)
set(73,-30875,50575,180)
set(73,-33225,42775,-90)
set(73,-45125,50025,0)
set(73,-40300,42500,180)
set(73,-37925,38750,-90)
set(73,-46425,42650,0)
set(73,-50575,42750,90)
set(73,-52625,37450,180)
set(73,-46625,29650,90)
set(73,-50850,33050,180)
set(73,-42100,27675,-90)
set(73,-52425,24675,0)
set(73,-49775,25900,90)
set(73,-45950,23000,180)
set(73,-42075,12975,-90)
set(73,-49875,15375,90)
