
name(The Joker's Planet)

snap(15,0,10)
sky(106,252,233)
fog(255,173,102)
clouds(250,252,106,0)
ground(179,194,142,1,-0.5,0) 
lightswingX(-10)
distfog(11700)
addon(3)

nlaps(2)

tip(This is quite a tricky stage if you plan to race it; and you can)
tip(complete it by racing or wasting.)
tip(If you will waste; take MASHEEN and try to waste them all)
tip(quickly before someone finishes the race!)


set(48,0,0,0)p
set(15,0,5600,0)p
set(15,0,11200,180)
set(34,0,10950,0)pr
set(15,0,16800,180)p
set(15,0,22400,0)p

set(17,0,26950,0)pt
set(17,3500,26950,180)p
set(17,3500,30450,0)pt
chk(42,5150,30450,90)
set(17,7000,30450,-90)p
set(17,7000,26950,90)pt
chk(42,8660,26950,90)
set(17,10500,26950,180)p
set(17,10500,30450,0)pt

chk(42,12150,30450,90)
set(17,14000,30450,-90)p
set(17,14000,26950,90)p
set(17,17500,26950,-90)p
set(17,17500,23450,90)p
set(17,21000,23450,-90)pt
chk(42,20972,22106,0)

set(21,21000,18900,180)p
set(22,21000,15540,180)p
set(10,21000,12180,180)p
set(29,21000,7216,0)pr
set(10,21000,2252,0)p
set(10,21000,-3348,0)p
set(10,21000,-8948,0)p
set(12,19480,-14578,150)p
set(14,17960,-19158,180)pt
set(10,13410,-19158,90)p
set(10,7810,-19158,-90)p
set(10,2210,-19158,-90)p
set(56,-2788,-19158,90)p
set(57,-5589,-19158,90)p
set(60,-8380,-19158,90)p
set(58,-11674,-19158,90)
chk(64,-12415,-19158,90,-2346)
set(59,-14771,-19158,90)p
set(61,-17010,-19158,90)p
set(61,-19810,-19158,90)p


set(24,-23450,-17150,-90)p
set(17,-25200,-17150,90)pt
set(44,-25200,-12600,180)p
set(43,-25200,-7000,180)p
set(43,-25200,-1400,0)p
set(43,-25200,4200,0)
set(35,-25560,700,0)pr
set(35,-24882,5104,180)pr
set(43,-25200,9800,180)p
set(44,-25200,15400,0)p

set(17,-25200,19950,0)pt
set(17,-21700,19950,180)p
set(17,-21700,23450,0)pt
chk(42,-20204,23450,90)
set(17,-18200,23450,180)p
set(17,-18200,26950,0)pt
set(16,-13650,26950,90)p
set(17,-9100,26950,-90)pt

set(44,-9100,22400,0)p
set(43,-9100,16800,0)p
set(55,-9100,18188,180)pr
set(43,-9100,11200,180)
chk(42,-9100,10925,0)
set(43,-9100,5600,0)p
set(53,-9100,3740,0)
set(44,-9100,0,180)p
set(17,-9100,-4550,90)pt
set(16,-4550,-4550,90)p 
set(17,0,-4550,180)pt

set(23,-5709,-754,0)po
set(10,-5709,2046,0)p
set(52,-5650,3775,0)pr
fix(41,-5709,7325,-2000,0)s
set(10,-5709,7646,0)p
set(10,-5709,13246,0)po
set(12,-4189,18876,150)
set(23,-2669,21706,180)

set(10,9151,12364,0)
set(26,9151,11215,180)
set(22,9151,9004,0)
set(18,9151,5644,0)
set(18,9151,44,180)
set(22,9151,-3316,180)
set(10,9151,-6676,180)
set(26,9151,-5543,0)
set(23,9151,-9476,0)
set(23,18520,-10144,0)
set(10,18520,-7344,0)
set(37,21000,-9540,180)
set(37,21000,-8384,90)
set(37,21000,-7295,0)
set(37,21000,-6416,180)
set(23,18520,-4544,180)

set(23,9151,15164,180)
set(23,-30278,-20971,0)
set(44,-17500,15180,0)
set(44,-17500,9580,180)
set(34,-17500,12380,0)
set(16,-17500,3980,0)
set(44,-17500,-1620,0)
set(44,-17500,-7220,180)
set(34,-17500,-3995,180)
set(24,-17500,17980,0)
set(24,-17500,-10020,180)
set(10,-30278,-18171,0)
set(49,-30978,-19571,0)
set(10,-30278,-12571,0)
set(10,-30278,-6971,0)
set(23,-30278,-4171,180)
set(32,-29928,-3075,0)
set(32,-30628,-3075,0)





set(70,3484,-4780,90)
set(70,21624,24976,0)
set(70,17452,15524,90)
set(70,16892,-1200,-90)
set(70,21176,-16504,0)
set(70,6160,-15832,90)
set(70,-13924,-22208,180)
set(70,-27208,-16832,-90)
set(70,-21580,9888,180)
set(70,-25808,21928,-90)
set(70,-13124,3976,180)
set(71,-3100,1132,0)
set(71,3256,11900,90)
set(71,17868,19500,0)
set(71,23020,-5124,-90)
set(71,15068,-14960,0)
set(71,-1392,-21680,180)
set(71,-21172,-13612,90)
set(71,-21620,1956,180)
set(71,-18344,20876,0)
set(71,-6480,24432,90)
set(71,-12164,9452,180)
set(71,-13200,-3740,-90)
set(72,3748,2880,90)
set(72,23224,-128,180)
set(72,-12324,-13180,90)
set(72,-28268,-8196,180)
set(72,-22108,7544,-90)
set(72,-20904,25992,0)
set(72,-11940,20908,90)
set(72,-13148,680,180)
set(72,-2836,-860,-90)
set(71,1235,-6808,0)
set(71,2867,-6196,0)
set(70,4499,10967,0)
set(72,-5140,24823,180)
set(70,8460,31218,-90)
set(71,9220,32168,180)
set(72,20850,25932,0)
set(72,16728,17716,90)
set(71,16566,1528,90)
set(70,22798,1748,180)
set(71,15844,-1672,180)
set(72,13602,-16310,-90)
set(71,6158,-14106,90)
set(72,-3224,-21136,0)
set(71,-13768,-12434,-90)
set(70,-22380,-11790,0)
set(70,-28286,-6060,90)
set(71,-24600,23148,-90)
set(70,-14364,24222,0)
set(70,-14440,22246,90)
set(70,13924,4938,-90)
set(72,10732,19014,-90)
set(71,11720,17722,-90)
set(70,7464,17798,0)

maxl(12,-36024,-21417)
maxb(13,-23817,-33624)
maxr(12,26375,-21417)
maxt(13,33782,-33624)
