
name(The Big Jump)

snap(0,20,-10)
sky(110,163,255)
fog(138,219,213)
clouds(255,255,255,1)
ground(201,183,149,2,0.3,0.1) //ground(r,g,b,textureNum,addedHueChangeFactor,addedSatChangeFactor)
distfog(8000)

tip(This is a tough race because you are up against Radical One.)
tip(Ever noticed how forward loops give your car a push forward)
tip(in the air and backward loops give it a push upwards? Well you)
tip(may need to use this to help you in this stage!)


nlaps(1)

set(24,0,-2800,180)
set(48,0,0,0)p
set(15,0,5600,0)p
set(15,0,11200,0)p
set(15,0,16800,0)
set(55,0,15800,0)pr
set(15,0,22400,180)p
set(15,0,28000,0)
set(55,0,24975,180)pl
set(15,0,33600,0)p
set(21,0,39200,0)p
set(18,0,44800,0)p
set(22,0,48160,0)p
set(10,0,51520,0)p
set(10,0,62109,180)p
set(31,0,57629,0)pr
set(10,0,67709,0)p
set(45,0,73818,0)p
set(45,0,77178,180)p
set(10,0,83287,0)p
set(10,0,88887,0)p
chk(40,0,91482,0)

set(14,0,93437,0)pt
set(10,4550,93437,-90)p
set(10,10150,93437,90)p
set(10,15750,93437,-90)
set(26,14650,93437,-90)pr
set(20,21350,93437,90)p
set(16,26950,93437,-90)p
set(15,32550,93437,-90)p
set(15,38150,93437,-90)p
set(44,43750,93437,90)p
set(43,49350,93437,90)
set(34,46825,93437,-90)pr
set(43,54950,93437,90)p
set(44,60550,93437,-90)p
set(15,66150,93437,90)p
set(15,71750,93437,90)p
set(15,77350,93437,90)p
chk(42,79735,93437,90)

set(17,81900,93437,-90)pt
set(15,81900,88887,0)p
set(20,81900,83287,180)p
set(10,81900,77687,180)p
set(31,81900,71578,180)pr
set(10,81900,67098,180)p
set(10,81900,61498,180)p
set(10,81900,55898,180)p
set(10,81900,50298,0)p
set(22,81900,46938,0)p
set(18,81900,43578,180)p
set(18,81900,37978,180)p
chk(40,81900,35450,0)

set(19,81900,33428,180)pt
set(18,77350,33428,-90)p
set(18,71750,33428,-90)p
set(22,68390,33428,90)p
set(10,65030,33428,90)p
set(10,59430,33428,90)

//set(52,58735,33078,90)
//set(52,58735,33778,90)
set(26,58735,33428,90)pr

set(10,53830,33428,90)p
set(10,48230,33428,90)p


set(23,19307,35096,-90)
set(23,24296,35096,90)
set(10,32698,35096,90)
set(13,38328,36616,120)
set(10,43958,38136,90)
set(49,42558,38836,-90)
set(23,46758,38136,90)
set(49,45358,38836,-90)
set(10,43905,28728,90)
set(12,38275,30248,60)
set(49,42505,28028,90)
set(10,32645,31768,90)
set(49,34045,31068,90)
set(49,34098,35796,-90)
set(23,29845,31768,-90)
set(49,31245,31068,90)
set(23,24376,31768,90)
set(23,19387,31768,-90)
set(23,29898,35096,-90)
set(49,31298,35796,-90)
set(23,46705,28728,90)
set(49,45305,28028,90)

set(10,42630,33428,90)p
set(10,37030,33428,90)p
set(10,31430,33428,90)p

set(23,19363,33428,-90)
set(23,28630,33428,-90)p
set(23,24352,33428,90)

set(51,21067,31768,90)
set(51,21043,33428,90)pr
set(51,20987,35096,90)



// = jump here

//between jump:

set(23,11520,36770,-90)
set(23,11520,36770,90)
set(26,10920,36770,90)

set(23,11520,30090,-90)
set(23,11520,30090,90)
set(26,10920,30090,90)

set(23,6548,35100,90)
set(23,6548,35100,-90)
set(32,5516,34750,90)
set(32,5516,35450,90)

set(23,6548,31760,90)
set(23,6548,31760,-90)
set(32,5516,32110,90)
set(32,5516,31410,90)

//landing here:

set(23,-5750,36770,90)
set(23,-5750,35100,90)
set(23,-5750,33430,90)p
set(23,-5750,31760,90)
set(23,-5750,30090,90)

set(30,-7430,36770,-90)
set(30,-7430,35100,-90)
set(30,-7430,33430,-90)pl
set(30,-7430,31760,-90)
set(30,-7430,30090,-90)

set(23,-10739,36770,-90)
set(10,-13539,35100,90)
set(10,-13539,33430,90)p
set(10,-13539,31760,90)
set(23,-10739,30090,-90)

set(23,-16339,35100,-90)
set(10,-19139,33430,90)p
set(23,-16339,31760,-90)

set(10,-24739,33430,90)p 
set(23,-27539,33430,-90)
chk(40,-27858,33430,90)



//==end



set(65,-3768,4540,0)
set(65,4352,16136,90)
set(65,-3264,42260,180)
set(65,2728,70784,0)
set(65,-4440,90296,90)
set(65,33088,96456,-90)
set(65,52316,88056,0)
set(65,75712,90072,90)
set(65,79152,61980,0)
set(65,84024,48608,90)
set(65,76072,29604,180)
set(65,34972,27084,0)
set(65,13748,40468,90)
set(66,3836,3836,-90)
set(66,-2548,27764,90)
set(66,3220,40152,180)
set(66,6636,90264,0)
set(66,28336,86680,90)
set(66,79940,63580,90)
set(66,54576,29596,-90)
set(66,13728,26676,90)
set(67,3192,484,-90)
set(67,-3304,20356,0)
set(67,2576,38052,90)
set(67,-2296,52468,180)
set(67,2688,71636,-90)
set(67,-2744,86512,0)
set(67,10360,95508,90)
set(67,49956,90244,-90)
set(67,76612,87500,0)
set(67,78972,78204,90)
set(67,86252,58792,180)
set(67,78300,44152,-90)
set(67,71356,30224,0)
set(67,61352,37504,90)
set(67,3256,39128,-90)
set(67,-22652,37000,0)
set(70,-3136,7440,90)
set(70,-3392,20068,180)
set(70,5184,95492,-90)
set(70,34696,96228,90)
set(70,62968,96516,-90)
set(70,79308,75144,90)
set(70,84396,60276,180)
set(70,73868,39140,0)
set(70,56540,40164,90)
set(70,37220,27620,180)
set(71,-2912,2828,180)
set(71,2720,22728,-90)
set(71,-1952,43388,0)
set(71,5184,71040,180)
set(71,-3392,84324,-90)
set(71,29688,95972,90)
set(71,50364,89284,180)
set(71,76824,87580,-90)
set(71,84536,68132,0)
set(71,79096,60604,90)
set(71,84760,45424,180)
set(71,26000,37760,90)
set(72,3128,18356,90)
set(72,-2440,40632,180)
set(72,2872,55728,-90)
set(72,-2664,70428,0)
set(72,3864,90584,180)
set(72,84316,83768,180)
set(72,84508,43168,0)
set(72,57780,37932,180)
set(72,-4002,7306,0)
set(66,4255,17225,0)
set(71,2576,24229,180)
set(70,4439,39650,-90)
set(71,-5014,53202,90)
set(70,-4117,51661,0)
set(66,-4600,54444,-90)
set(65,2714,57447,-90)
set(70,4483,72277,90)
set(70,-4168,85536,180)
set(72,5582,89282,90)
set(71,16080,86976,0)
set(70,17506,87321,0)
set(65,14815,87850,180)
set(72,32294,96921,-90)
set(67,40316,88972,180)
set(66,41372,88940,180)
set(72,52032,86056,0)
set(70,51752,89108,180)
set(66,62116,97052,-90)
set(72,72248,90324,90)
set(66,84668,84784,0)
set(70,86404,83832,0)
set(65,77360,75924,180)
set(65,77668,74588,-90)
set(72,75456,63204,-90)
set(70,74504,40992,-90)
set(66,75804,39020,180)
set(72,75484,28620,90)
set(71,54344,28476,-90)
set(65,57872,39684,-90)
set(67,24912,38240,180)
set(67,25614,24488,-90)
set(72,25272,26404,0)
set(70,15122,39052,-90)
set(72,38184,39230,-90)
set(71,36722,38929,0)
set(66,26000,27750,0)
set(70,10050,52400,90)
set(70,-5050,50000,180)
set(72,11250,51450,180)
set(65,11200,49300,180)
set(72,16554,50462,90)
set(66,-23302,31214,180)
set(71,-24062,30796,-90)
set(70,-18238,28326,0)
set(66,12060,48942,-90)


maxl(22,-30973,-3669)
maxb(25,-6069,-28573)
maxr(22,89026,-3669)
maxt(25,99531,-28573)

