
name(Wrong Side of the Law)

snap(0,0,25)
sky(110,176,252)
fog(109,209,252) 
clouds(255,230,230,0)
ground(154,178,188,1,0.2,0.2) //ground(r,g,b,textureNum,addedHueChangeFactor,addedSatChangeFactor)
lightswingZ(-10)
distfog(11000)
addon(2)


tip(Most cars are trying to race in this stage but Sword of Justice)
tip([the police] doesn't like it and is chasing them down to waste)
tip(them. So you better run!)
tip(Take a good all round car like Max Revenge or Shadow Rider)
tip(and race while avoiding getting caught!)


nlaps(3)

set(47,0,0,0)p
set(10,0,5600,0)p
set(10,0,15528,0)p
set(29,0,10564,0)pr
set(10,0,21128,180)p
set(10,0,26728,0)p
set(32,350,23928,0)pr
set(10,0,32328,0)p
set(14,0,36878,-90)pt
set(10,-4550,36878,-90)p
set(10,-10150,36878,-90)p
set(14,-14700,36878,0)pt
set(10,-14700,32328,180)
chk(40,-14700,33175,0)
set(14,-14700,27778,90)pt
set(10,-10150,27778,90)p
set(23,-7350,27778,90)p

set(23,-3225,27778,-90)
set(23,-3225,27778,90)
set(26,-3225,27778,-90)pr

set(23,1950,27778,0)
set(23,1950,27778,180)
set(37,1950,26750,180)
set(37,1950,27778,90)
set(37,1950,28775,180)

set(23,4975,27778,-90)p
set(28,7139,27778,90)p
set(20,12103,27778,90)p
set(15,17703,27778,90)p
set(15,23303,27778,90)p
set(17,27853,27778,-90)pt
set(17,27853,24278,180)
chk(42,27853,26028,0)

set(15,23303,24278,-90)p
set(35,21150,24278,-90)pr
set(15,17703,24278,-90)p
set(16,12103,24278,-90)p

set(17,7553,24278,0)pt
set(15,7553,19728,0)p
set(15,7553,14128,0)p
set(34,7553,13467,0)pr

fix(41,7553,10495,-1700,0) //fix(41,7553,8011,-2000,0)

set(15,7553,8528,0)p
set(16,7553,2928,180)p
set(20,7553,-2672,180)p
set(12,6033,-8302,150)p
set(14,4513,-12882,180)pt
set(14,1013,-12882,90)pt
set(23,1013,-11132,180)p
set(23,324,-6968,180)
set(23,324,-6968,0)
chk(40,324,-7810,0)
set(32,674,-5840,0)pr


set(23,0,-2800,0)
set(23,2763,-9190,0)
set(23,2763,-9190,180)
set(37,2775,-9730,-90)
set(37,2765,-8450,-90)
set(23,7553,-10775,180)
set(23,7553,-10775,0)
set(37,7553,-11225,0)
set(37,7553,-9900,0)
set(16,-7620,32560,90)
set(24,-10420,32560,90)
set(24,-4820,32560,-90)
set(24,4697,32560,90)
set(44,7497,32560,90)
set(43,13097,32560,90)
set(44,18697,32560,-90)
set(24,21497,32560,-90)
set(23,-7544,22480,180)
set(22,-7544,21920,0)
set(37,-7544,23360,0)
set(18,-7544,18560,0)
set(18,-7544,12960,0)
set(22,-7544,9600,180)
set(10,-7544,6240,0)
set(52,-7560,6870,0)
set(18,-7544,-480,180)
set(22,-7544,2880,0)
set(22,-7544,-3840,180)
set(23,-7544,-4400,0)
set(44,23096,19424,-90)
set(44,17496,19424,90)
set(17,12946,19424,0)
set(17,27646,19424,-90)
set(44,12946,14874,0)
set(44,27646,14874,0)
set(43,12946,9274,0)
set(43,12946,3674,180)
set(43,12946,-1926,0)
set(43,27646,9274,0)
set(43,27646,3674,180)
set(43,27646,-1926,0)
set(44,12946,-7526,180)
set(44,27646,-7526,180)
set(24,12946,-10326,180)
set(24,27646,-10326,180)
set(23,20517,13025,180)
set(10,20517,10225,0)
set(26,20517,9287,180)
set(10,20517,4625,180)
set(37,20517,3535,0)
set(10,20517,-975,180)
set(37,20517,2362,0)
set(10,20517,-6575,0)
set(26,20517,-3520,0)
set(23,20517,-9375,0)
set(65,-12320,20956,180)
set(65,11468,20929,0)
set(65,10126,35992,90)
set(65,26176,21840,180)
set(65,23601,15008,-90)
set(65,16891,-1698,0)
set(65,16830,-9734,90)
set(65,3776,-3268,180)
set(65,-11786,2100,-90)
set(66,-4222,-828,0)
set(66,3952,16613,180)
set(66,10479,8683,-90)
set(66,-6601,25869,0)
set(66,10908,35382,180)
set(66,16515,29892,-90)
set(66,24588,16472,0)
set(66,24588,3267,90)
set(66,16231,766,180)
set(66,24405,-10125,-90)
set(67,-3040,795,0)
set(67,-5236,6529,90)
set(67,5439,2076,180)
set(67,2816,14809,-90)
set(67,-3833,22503,0)
set(67,-11870,20734,90)
set(67,-12541,30210,180)
set(67,6369,35455,-90)
set(67,19273,29782,0)
set(67,22332,21913,90)
set(67,18611,15691,180)
set(67,23613,7436,-90)
set(67,17452,-1502,0)
set(67,24040,-8319,90)
set(67,-10711,11210,-90)
set(67,-11748,17981,0)
set(67,-10711,-1356,90)
set(68,-3086,-4589,180)
set(68,3502,20663,-90)
set(68,17675,10293,0)
set(68,21945,30187,90)
set(68,23661,-3224,180)
set(69,-4493,7268,-90)
set(69,4901,24088,0)
set(69,16865,13581,180)
set(69,24368,-6953,-90)
set(69,9728,-10868,0)
set(69,-10907,6578,90)
set(67,5050,-2975,180)
set(66,-4200,6375,90)
set(65,-3100,9425,-90)
set(66,-2125,35000,90)
set(65,-1875,39475,180)
set(67,-2760,39183,180)
set(66,-14708,38325,-90)
set(68,3496,8140,-90)
set(69,19586,26012,90)

maxl(12,-19791,-13625)
maxb(11,-16025,-17391)
maxr(12,33009,-13625)
maxt(11,41575,-17391)
