
name(Counter-Retaliation is Revenge)

snap(15,15,-20)
sky(122,166,255)
fog(195,210,170)
clouds(255,255,255,0)
ground(189,175,145,2,0.2,0.4) //ground(r,g,b,textureNum,addedHueChangeFactor,addedSatChangeFactor)
distfog(11600)
addon(1)


tip(This stage is definitely meant for wasting!)
tip(Now it is time to get your revenge from Sword of Justice!)
tip(And remember the more power you have the faster)
tip(and STRONGER your car is.)
tip(Take a strong car like Ice Cream!)


nlaps(10)


set(47,0,0,0)p
set(10,0,5600,0)p
set(10,0,11200,0)
set(26,0,11200,0)pr
set(13,-1520,16830,30)
chk(40,-3040,19580,0)
set(12,-1520,22490,-30)p

set(10,0,28120,0)p
set(14,0,32670,-90)pt
set(20,-4550,32670,-90)p
set(15,-10150,32670,-90)p
set(15,-15750,32670,-90)
set(35,-15950,32670,-90)pr
set(15,-21350,32670,90)p
set(15,-26950,32670,90)p
set(35,-24400,32670,-90)
chk(42,-28950,32670,90)
set(17,-31500,32670,0)pt
set(15,-31500,28120,0)p
set(15,-31500,22520,180)p
set(15,-31500,16920,0)p
set(15,-31500,11320,0)

set(35,-31000,12170,180)
set(35,-32000,12170,0)pr
set(15,-31500,11320,0)
set(20,-31500,5720,180)p
set(13,-29980,90,30)p
set(10,-28460,-5540,0)
chk(40,-28460,-5540,0)
set(13,-26940,-11170,30)p
set(10,-25420,-16800,180)
chk(40,-25420,-16800,0)
set(14,-25420,-21350,90)pt
set(10,-20870,-21350,90)p
set(52,-20000,-21700,-90)pr
set(23,-18070,-21350,90)
set(23,-12950,-21350,-90)p
set(10,-10150,-21350,-90)p
set(10,-4550,-21350,90)
chk(40,-4550,-21350,90)
set(14,0,-21350,180)pt
set(10,0,-16800,0)p
set(10,0,-11200,0)p
set(10,0,-5600,0)
set(26,0,-2800,0)pr


set(23,-15510,-18500,0)
set(10,-15510,-15700,180)po
set(20,-15510,-10100,180)p
set(15,-15510,-4500,180)p
set(15,-15510,1100,0)p
set(16,-15510,6700,0)p
fix(41,-15510,6700,-2000,0)s
set(15,-15510,12300,0)p

set(34,-15510,10500,0)
set(34,-15510,2900,180)

set(15,-15510,17900,0)
set(15,-15510,23500,0)
set(24,-15510,26300,0)po


set(24,-7755,26300,0)
set(44,-7755,23500,0)
set(43,-7755,17900,0)
set(43,-7755,12300,180)
set(43,-7755,6700,180)
set(43,-7755,1100,0)
set(43,-7755,-4500,180)
set(44,-7755,-10100,180)
set(24,-7755,-12900,180)


set(24,-23505,26300,0)
set(15,-23505,23500,0)
set(16,-23505,17900,0)
set(15,-23505,12300,0)
set(16,-23505,6700,0)
set(16,-23505,1100,0)
set(15,-23505,-4500,0)
set(24,-23505,-7300,180)


set(65,-11338,23908,180)
set(65,-30994,-1956,0)
set(65,-12390,-17696,180)
set(66,-19602,22862,0)
set(66,-2368,9130,180)
set(66,-12326,3064,-90)
set(66,-19200,-4566,0)
set(66,-30930,-10950,90)
set(66,-18956,-15316,180)
set(67,-18328,20665,90)
set(67,-12589,17228,180)
set(67,-25510,-7454,0)
set(67,-28874,-16168,90)
set(68,-23824,29097,90)
set(68,-29471,2621,180)
set(68,-3316,-17192,90)
set(69,-8464,-19568,180)
set(69,-19312,20216,180)
set(69,-19416,34704,-90)
set(65,-5920,34540,0)
set(65,-27284,13220,90)
set(65,-18700,14948,180)
set(65,-3750,-23450,0)
set(69,1868,-6908,0)
set(68,-19796,-22992,0)
set(69,-10172,26896,180)
set(69,-29180,-13964,-90)
set(65,-12520,-7708,180)
set(69,-3861,8701,-90)
set(67,-3578,11895,-90)
set(65,2886,30792,90)
set(68,2480,8280,-90)
set(65,2500,-7800,0)
set(65,-4920,-16020,90)
set(66,2360,31760,90)
set(67,-22680,29460,0)
set(65,-28080,26190,-90)
set(67,-28500,13960,-90)
set(66,-27520,28560,-90)
set(65,-20420,-6760,90)
set(65,-20760,8360,-90)
set(68,-11440,1456,0)
set(67,196,-23047,180)


maxr(13,4800,-23000)
maxt(8,37000,-31200)
maxl(13,-33600,-23000)
maxb(8,-25400,-31200)





