
name(The Blue Dragon in The Sky)

snap(20,0,20)
sky(97,107,255)
fog(250,146,97)
clouds(255,240,255,2)
ground(213,177,144,0,0.1,0.2) //ground(r,g,b,textureNum,addedHueChangeFactor,addedSatChangeFactor)
lightswingX(5)
distfog(10000)
addon(1)

tip(This stage is purely a racing stage; take a fast car and try)
tip(to keep your power always up while avoiding bad landings to)
tip(keep up with the rest. Let's go!)

nlaps(2)

set(48,0,0,0)p
set(15,0,5600,0)p
set(15,0,11200,0)
set(55,0,11897,0)pr
set(15,0,16800,180)p
set(15,0,22400,0)p
set(15,0,28000,0)p
set(53,0,24605,180)


set(44,0,33600,180)p
set(43,0,39200,180)p
set(43,0,44800,0)p
set(33,0,42000,0)
set(43,0,50400,0)p
set(33,0,47600,0)
set(44,0,56000,0)p
set(33,0,53200,0)
set(21,0,61600,0)p
set(18,0,67200,0)p
set(18,0,72800,0)p
set(36,-1810,70980,90)
set(18,0,78400,180)p
set(36,-1810,74988,90)
set(22,0,81760,0)p
set(12,1520,85150,-30)p
set(14,3040,89730,0)pt
set(10,7590,89730,-90)
chk(40,7558,89730,90)
set(14,12140,89730,-90)pt
set(12,10620,85150,-30)p
set(10,9100,79520,0)p
set(10,9100,73920,0)
set(26,9100,73786,180)pr
set(22,9100,70560,0)p


set(18,9100,67200,0)p
set(22,9100,63840,180)p
set(10,9100,60480,180)p
set(45,9100,54371,180)p
set(46,9100,49891,180)p
set(45,9100,45411,0)p
set(10,9100,39302,0)p
set(29,9100,34338,180)pr
set(10,9100,29374,0)p
set(22,9100,26014,0)
set(18,9100,22654,180)p
set(22,9100,19294,180)
set(10,9100,15934,180)p
set(38,9100,18234,180)
set(38,9100,16610,0)


set(20,9100,10334,0)p
set(44,9100,4734,0)p
set(43,9100,-866,180)
set(35,9100,-800,0)pr
fix(41,9100,-6550,-1400,0)
set(43,9100,-6466,0)p
set(43,9100,-12066,0)
set(35,9100,-12075,180)pr


set(43,9100,-17666,0)p
set(43,9100,-23266,180)p
set(44,9100,-28866,180)p
set(16,9100,-34466,180)p
set(15,9100,-40066,180)p
set(20,9100,-45666,180)p
set(12,7580,-51296,150)p
set(14,6060,-55876,180)pt
set(10,1510,-55876,90)
chk(40,1394,-55876,90)
set(14,-3040,-55876,90)pt
set(12,-1520,-51296,-30)p
set(23,0,-48466,180)p

set(23,24,-45156,90)
set(23,24,-45156,-90)
set(37,1408,-45156,-90)
set(37,-1364,-45156,-90)

set(23,0,-41898,0)p
set(10,0,-39098,0)
set(52,0,-40650,0)pr
set(45,0,-32989,0)p
set(46,0,-28509,180)p
set(46,0,-22909,0)p
set(46,0,-17309,180)p
set(45,0,-12829,180)p
set(22,0,-8960,180)p
set(21,0,-5600,180)p



set(65,2615,4385,0)
set(66,2825,5550,90)
set(67,4375,5800,180)
set(67,2425,20700,-90)
set(65,-2175,24775,180)
set(65,-2600,52175,0)
set(65,11975,52400,0)
set(65,12075,825,180)
set(65,5925,-22875,-90)
set(65,6200,-44450,0)
set(65,8450,-55175,90)
set(65,-2600,-49125,180)
set(65,-2625,-32250,-90)
set(66,-3075,-30850,0)
set(66,4550,-26650,90)
set(66,-2325,68675,180)
set(66,5950,85050,-90)
set(66,10850,58850,0)
set(66,6300,15250,-90)
set(67,-2600,8275,0)
set(67,-2675,52725,180)
set(66,-1850,77275,-90)
set(67,5839,85428,0)
set(73,-3284,8018,-90)
set(73,-2348,20904,0)
set(73,2618,23504,90)
set(73,-2608,36778,180)
set(73,-2920,38580,-90)
set(73,-3492,52190,0)
set(73,486,88238,180)
set(73,10818,81088,-90)
set(73,6372,69536,0)
set(73,11572,53000,90)
set(73,5160,37016,-90)
set(73,6538,19304,0)
set(73,11868,11460,90)
set(73,4458,-22686,180)
set(73,8930,-53894,-90)
set(73,2678,-47056,0)
set(73,-2496,-31418,180)
set(74,-3276,-13412,-90)
set(74,-2444,16106,0)
set(74,2132,31540,90)
set(74,-4212,44240,180)
set(74,-2158,67976,-90)
set(74,260,87938,0)
set(74,11372,80840,90)
set(74,6770,70806,180)
set(74,5054,60136,-90)
set(74,5834,37690,0)
set(74,6276,14656,90)
set(74,6198,-10284,180)
set(74,4418,-24926,-90)
set(74,3586,-48428,0)
set(75,3434,-28564,90)
set(75,-2884,-14822,180)
set(75,-2234,20082,0)
set(75,3876,36600,90)
set(75,4032,50438,180)
set(75,-2494,62358,-90)
set(75,3024,78522,0)
set(75,8796,87296,90)
set(75,6352,70178,180)
set(75,4438,50080,0)
set(75,11406,26232,90)
set(75,11406,3138,180)
set(75,6622,-19484,-90)
set(75,9950,-51472,0)
set(75,-254,-54104,90)
set(75,-2074,-21064,180)
set(75,12012,53415,-90)
set(75,2140,-6254,-90)
set(75,2350,-6236,0)
set(73,-3131,7311,180)
set(66,7195,25759,180)
set(66,11885,-31325,0)
set(67,-3850,84350,0)
set(75,-3515,84058,180)
set(74,-3684,84604,90)

maxl(32,-7450,-57473)
maxb(5,-59873,-5050)
maxr(32,16550,-57473)
maxt(5,93727,-5050)
