
name(He Is Coming For You Next)
 
snap(20,5,-20)
sky(125,170,255)
fog(221,164,141)
clouds(255,219,204,0)
ground(200,180,141,1,0.2,0) //ground(r,g,b,textureNum,addedHueChangeFactor,addedSatChangeFactor)
distfog(11700)
addon(1)

tip(It is difficult to race in this stage because El King will be coming)
tip(for you if you do. It may be better to face EL King head-on and)
tip(fight! But make sure your car is always powered to the MAX.) 
tip(High Rider is an awesome stunt performing car that is also)
tip(all round good for racing or wasting.)

nlaps(9)

set(47,0,0,0)p
set(10,0,5600,0)p
set(10,0,11200,0)p
set(26,0,11200,0)pr
set(10,0,16800,0)p
set(30,0,20880,180)p
set(10,0,26989,0)p
set(10,0,32589,180)
chk(40,0,32589,0)
set(14,0,37139,-90)pt
set(10,-4550,37139,90)p
set(26,-6000,37139,90)pr
set(10,-10150,37139,90)p
set(10,-15750,37139,90)p
set(37,-10000,37239,90)
set(37,-11000,37039,90)
set(37,-12000,37239,90)
set(37,-13000,37039,90)
set(37,-14000,37239,90)
set(37,-15000,37039,90)
set(10,-21350,37139,90)p
chk(40,-24080,37139,90)
set(14,-25900,37139,0)pt
set(10,-25900,32589,0)p
set(10,-25900,26989,0)p
set(29,-25900,22025,0)p
set(10,-25900,17061,0)p
set(10,-25900,11461,0)p
set(10,-25900,5861,0)p

set(38,-25900,16000,0)
set(38,-25900,14000,0)
set(38,-25900,12000,0)
set(38,-25900,10000,0)
set(38,-25900,8000,0)
set(38,-25900,6000,0)

set(23,-25900,3061,0)
set(32,-25550,2015,180)
set(32,-26250,2015,180)
set(23,-25900,167,-90)
set(23,-25900,167,90)
set(32,-27230,272,180)
set(32,-24570,272,180)


set(23,-25900,-2800,180)p

set(10,-25900,-5600,0)p
chk(40,-25900,-8330,0)
set(14,-25900,-10150,90)pt
set(10,-21350,-10150,90)p
set(10,-15750,-10150,90)
set(27,-17750,-10150,-90)pr
set(10,-10150,-10150,90)p
set(10,-4550,-10150,90)p
set(14,0,-10150,180)pt
set(10,0,-5600,0)
chk(40,0,-5600,0)

set(24,-6000,-2800,180)
set(15,-6000,0,0)
set(16,-6000,5600,0)
set(15,-6000,11200,0)
set(16,-6000,16800,180)
set(16,-6000,22400,0)
set(15,-6000,28000,0)
set(24,-6000,30800,0)


set(24,-19900,-2800,180)
set(16,-19900,0,0)
set(15,-19900,5600,0)
set(15,-19900,11200,0)
set(16,-19900,16800,180)
set(15,-19900,22400,0)
set(15,-19900,28000,0)
set(24,-19900,30800,0)

set(24,-12950,-2800,180)po
set(15,-12950,0,0)p
set(15,-12950,5600,0)p
set(15,-12950,11200,0)p
set(35,-12950,11400,0)pr
fix(41,-12950,14000,-1000,0)s
set(15,-12950,16800,180)
set(35,-12950,16410,0)
set(15,-12950,22400,0)
set(16,-12950,28000,0)
set(24,-12950,30800,0)po


set(73,-3675,-2850,90)
set(73,2075,-2425,180)
set(73,-2325,3025,-90)
set(74,-2850,2450,0)
set(75,1652,1840,90)
set(75,-4548,-6068,-90)
set(74,-3516,-7388,0)
set(74,2129,7444,180)
set(74,-1978,8702,-90)
set(74,-3310,7740,0)
set(73,-3014,12624,90)
set(73,-2866,23687,180)
set(73,-2607,24797,-90)
set(73,-16257,26388,90)
set(73,-16960,24760,180)
set(74,-10485,24131,-90)
set(74,-9338,22022,0)
set(74,-15406,12355,90)
set(73,-8450,12207,180)
set(73,-17330,11911,-90)
set(73,-23254,14501,0)
set(74,-23032,-552,90)
set(74,-23661,-1440,180)
set(74,-23254,-5029,-90)
set(74,-27939,3629,0)
set(75,-27791,9438,90)
set(75,-26940,16995,180)
set(75,-13160,-11231,90)
set(74,-22193,-11282,180)
set(74,-10024,8766,-90)
set(74,-11837,35123,0)
set(75,-13673,35650,90)
set(75,-8760,35446,180)
set(75,-4357,33864,-90)
set(65,-23265,34510,0)
set(65,-16486,20612,90)
set(65,-2466,17806,180)
set(66,-23830,14551,0)
set(66,-14367,-6649,90)
set(67,-8151,38289,180)
set(67,-27977,5102,-90)
set(74,-21619,-6956,90)
set(74,-20327,-6871,180)
set(75,-20327,-5290,-90)
set(75,-14200,38475,0)
set(75,-21950,35675,90)
set(75,-23225,21950,180)
set(75,-16550,4425,-90)
set(73,-17100,1375,0)
set(67,-3214,35273,90)
set(73,-3033,40196,-90)
set(74,-3462,39962,0)
set(67,-24104,24969,-90)
set(74,-23727,24943,90)
set(65,-27631,-6240,90)
set(65,-8650,-5075,180)
set(66,2785,23700,90)


maxr(11,4000,-10000)
maxb(7,-12400,-27200)
maxt(7,40400,-27200)
maxl(11,-29600,-10000)

