
name(Flight of the Barking Lunatics)

snap(-15,25,25)
sky(137,226,255)
fog(188,193,169)
clouds(255,255,255,1)
ground(206,183,141,1,0.2,0.1) //ground(r,g,b,textureNum,addedHueChangeFactor,addedSatChangeFactor)
lightswingZ(10)
distfog(9000)
addon(1)

tip(In this stage it is easier to race; but watch out because EL King)
tip(has decided to go rogue and is driving the track in the opposite)
tip(direction to try to waste anyone in his way. Jump high above)
tip(him using the big 'take off' ramps in this stage to avoid him!)
tip(Have fun flying!)


nlaps(3)

set(47,0,0,0)p
set(10,0,5600,0)p
set(10,0,11200,0)
set(26,0,11434,180)
set(26,0,10000,0)pr
set(10,0,16800,180)
set(10,0,22400,180)p
set(10,0,28000,180)p
chk(40,0,30544,0)
set(14,0,32550,-90)pt
set(10,-4550,32550,-90)p
set(10,-10150,32550,90)p
set(31,-16259,32550,90)pr

set(24,-23448,32432,-90)p
set(16,-26248,32432,-90)p
set(44,-31848,32432,-90)
set(43,-37448,32432,90)p
set(55,-33620,32432,-90)
set(43,-43048,32432,90)p
set(44,-48648,32432,90)p
set(17,-53198,32432,0)pt

set(44,-53198,27882,0)p
set(44,-53198,22282,180)
chk(42,-53198,24590,0)
set(17,-53198,17732,90)pt

set(15,-48648,17732,90)p
set(44,-43048,17732,90)p
set(43,-37448,17732,-90)
set(35,-39816,17732,90)pr
set(43,-31848,17732,-90)p
set(44,-26248,17732,-90)p
set(21,-20648,17732,-90)p
set(22,-17288,17732,-90)p
set(22,-16168,17732,90)p
set(22,-15048,17732,-90)p
set(10,-11688,17732,90)p
set(31,-5579,17732,-90)pr
set(23,-3899,17732,90)

set(23,3899,17732,-90)
set(31,5579,17732,90)
set(10,11688,17732,90)p
set(22,15048,17732,90)p
set(18,18408,17732,90)p
set(21,24008,17732,90)p
set(44,29608,17732,90)p
set(43,35208,17732,90)
set(33,31712,17732,90)
set(43,40808,17732,-90)p
set(33,37398,17732,-90)
set(43,46408,17732,-90)p
set(33,42992,17732,90)
set(44,52008,17732,-90)p
chk(42,54260,17732,90)
set(17,56558,17732,-90)pt
set(15,56558,13182,180)p
set(15,56558,7582,180)p
set(17,56558,3032,180)pt
set(15,52008,3032,-90)p
set(15,46408,3032,-90)
chk(42,46640,3032,90)
set(16,40808,3032,90)p
set(44,35208,3032,-90)p
set(35,33752,2500,90)
set(35,33735,3486,-90)
set(43,29608,3032,-90)
set(44,24008,3032,90)
set(17,19458,3032,0)pt
set(15,19458,-1518,180)p
set(17,19458,-6068,180)pt
set(15,14908,-6068,90)p
set(15,9308,-6068,90)
set(35,10658,-6068,-90)pr
fix(41,7550,-6068,-1200,90)
set(16,3708,-6068,-90)p
set(15,-1892,-6068,-90)p
set(15,-7492,-6068,90)p
chk(42,-10000,-6068,90)
set(17,-12042,-6068,0)pt
set(15,-12042,-10618,0)p
set(15,-12042,-16218,0)
set(34,-12042,-15315,0)pr
set(16,-12042,-21818,180)p
set(24,-12042,-24618,180)

set(23,-12116,-31073,180)
set(13,-10620,-33903,210)p
set(14,-9100,-38483,90)pt
set(10,-4550,-38483,-90)
chk(40,-4605,-38483,90)
set(14,0,-38483,180)pt
set(22,0,-36173,180)p
set(18,0,-32813,0)p
set(22,0,-29453,0)p
set(10,0,-26093,0)p
set(10,0,-20493,0)p
set(31,0,-14384,0)pr
set(23,0,-12704,180)

set(23,0,-2800,0)p







set(44,-16525,-26755,180)
set(43,-16525,-21155,0)
set(63,-16525,-21274,0)
set(62,-16102,-20016,0)
set(43,-16525,-15555,180)
set(62,-16786,-18648,-90)
set(63,-16216,-17070,-90)
set(62,-16520,-15422,90)
set(63,-16748,-13760,180)
set(44,-16525,-9955,0)
set(62,-16216,-12506,90)
set(62,-16748,-10834,0)
set(63,-16558,-9328,90)
set(17,-16525,-5405,-90)
set(62,-16444,-7898,90)
set(17,-20025,-5405,90)
set(15,-20025,-855,180)
set(15,-20025,4745,180)
set(16,-20025,10345,0)
set(24,-20025,13145,0)
set(24,-20025,22850,180)
set(15,-20025,25650,0)
set(62,-20480,22640,180)
set(63,-20355,24911,90)
set(62,-19760,25900,90)
set(63,-19640,23740,0)
set(15,-20025,31250,180)
set(15,-20025,36850,0)
set(17,-20025,41400,-90)
set(15,-24575,41400,-90)
set(15,-30175,41400,-90)
set(15,-35775,41400,90)
set(62,-35220,41025,-90)
set(63,-32602,41025,90)
set(62,-34080,41740,180)
set(16,-41375,41400,-90)
set(15,-46975,41400,-90)
set(62,-47520,41780,0)
set(24,-49775,41400,90)
set(63,-49920,41700,-90)
set(63,-48760,41100,180)
set(24,-16525,-29555,180)
set(24,-14672,37204,90)
set(44,-11872,37204,90)



set(62,-13175,37546,180)
set(63,-10657,37204,90)
set(43,-6272,37204,-90)
set(62,-7871,37029,180)
set(63,-5480,37405,180)
set(43,-672,37204,-90)
set(63,-599,36888,-90)
set(62,-3218,37405,-90)
set(43,4928,37204,90)
set(62,2585,37170,0)
set(63,5056,37499,0)
set(44,10528,37204,-90)
set(63,9892,36888,90)
set(62,7465,37646,90)
set(17,15078,37204,-90)
set(15,15078,32654,0)
set(16,15078,27054,0)
set(24,15078,24254,180)
set(70,3840,6608,0)
set(70,-1620,21186,90)
set(70,-6114,28306,180)
set(70,12240,28684,-90)
set(70,-23072,35982,0)
set(70,-38080,27834,90)
set(70,-50494,38502,180)
set(70,-59102,26028,-90)
set(70,-44654,22824,0)
set(70,-23900,21774,90)
set(70,22220,13678,180)
set(70,30906,-3814,0)
set(70,-4084,-10710,90)
set(70,3224,-13734,180)
set(70,-12830,-36662,0)
set(71,3592,7880,90)
set(71,-5522,22066,180)
set(71,11656,25766,-90)
set(71,-36946,27314,90)
set(71,-56148,20430,180)
set(71,-32980,12354,-90)
set(71,15162,15672,0)
set(71,5816,-16258,180)
set(71,-5664,-26860,-90)
set(71,-1758,-41190,0)
set(71,-20128,-25986,90)
set(71,-3878,11178,180)
set(72,-4824,24194,90)
set(72,2946,33320,180)
set(72,-34534,28574,-90)
set(72,-17836,35252,0)
