
name(The King is Calm When Threatened)

snap(20,-5,5)
sky(137,226,255)
fog(255,138,148)
clouds(255,255,255,2)
ground(204,165,148,0,0.2,0.4) //ground(r,g,b,textureNum,addedHueChangeFactor,addedSatChangeFactor)
lightswingX(-10)
distfog(11700)
addon(1)

tip(You can equally race or waste in this stage; but it is)
tip(exceptionally easy to waste when you are EL King!)


nlaps(5)


set(17,0,38150,0)p
set(15,4550,38150,-90)p
set(15,10150,38150,90)p
set(17,14700,38150,180)pt
set(44,14700,42700,180)p
set(34,14700,46220,0)pr
set(43,14700,48300,180)p
set(43,14700,53900,0)p
set(44,14700,59500,0)p
chk(42,14700,62000,0)
set(17,14700,64050,-90)pt
set(16,10150,64050,90)p
set(15,4550,64050,90)p
set(17,0,64050,0)pt
set(15,0,59500,0)p
set(15,0,53900,0)p
set(15,0,48300,0)
chk(42,0,48925,0)
set(24,0,45500,180)
set(35,0,45698,180)pr

set(23,75,41450,-90)
set(23,75,41450,90)p
set(37,700,41460,180)
set(37,-464,41468,180)


set(20,0,33600,180)p
set(10,0,28000,180)p
set(26,0,21675,180)pr
set(10,0,22400,0)p
set(11,0,16800,180)p
set(10,0,11200,180)p
set(27,0,12725,0)

set(10,0,5600,0)p
set(47,0,0,0)p

set(10,0,-5600,0)p
set(38,0,-6300,180)
set(38,0,-4300,180)
set(38,0,-2300,180)
set(14,0,-10150,90)pt
set(11,4550,-10150,-90)p
set(10,10150,-10150,90)
chk(40,8250,-10150,90)
set(14,14700,-10150,-90)pt

set(29,14700,-14064,180)pr
set(10,14700,-19028,180)p
set(10,14700,-24628,0)p
set(22,14700,-27988,0)
set(22,14700,-29108,180)
set(14,14700,-31418,180)pt
set(10,10150,-31418,90)
set(10,4550,-31418,90)p
set(14,0,-31418,90)pt
chk(40,0,-30050,0)
set(11,0,-26868,0)p
set(11,0,-21268,0)p

set(23,0,-18468,180)
set(26,0,-17400,0)pr 
fix(41,0,-12900,-1500,0)

set(23,0,-12900,180)
set(23,0,-12900,0)
set(37,0,-11950,0)
set(37,0,-13779,0)
set(37,0,-12900,90)


set(23,14320,66792,-90)
set(23,14320,66792,90)
set(37,13560,66804,180)
set(37,14700,66812,180)


set(23,8820,-4924,0)
set(52,8820,-3960,180)
set(10,8820,-2124,180)
set(10,8820,3476,180)po
set(22,8820,6836,180)p
set(18,8820,10196,0)p
set(18,8820,15796,0)p
set(22,8820,19156,0)p
set(52,8820,20516,0)pr
set(10,8820,22516,0)p
fix(41,8820,25000,-1800,0)s
set(10,8820,28116,0)p
set(23,8820,30916,180)po



set(54,-700,3920,180)
set(54,700,3920,180)
set(54,-700,6160,180)
set(54,700,6160,180)
set(54,-700,8400,180)
set(54,700,8400,180)

set(54,700,29050,180)
set(54,-700,29050,180)
set(54,700,26810,180)
set(54,-700,26810,180)
set(54,700,24570,180)
set(54,-700,24570,180)

set(54,13770,-31280,-90)
set(54,14880,-29880,-90)
set(54,14470,-30660,180)
set(54,13070,-31580,0)



set(75,3238,2484,0)
set(75,4980,12767,90)
set(75,-4132,17911,180)
set(75,9810,35285,-90)
set(75,8725,50865,0)
set(75,5470,58990,90)
set(75,17735,52690,180)
set(75,12141,5661,180)
set(75,6688,-7739,-90)
set(75,2178,-15599,0)
set(75,13043,-28872,90)
set(75,2014,-25369,180)
set(74,2301,-23975,-90)
set(74,10911,-28567,0)
set(74,5324,-15972,90)
set(74,2266,1344,180)
set(74,-1912,10350,-90)
set(74,2798,27318,0)
set(74,12052,48692,90)
set(74,17552,53422,180)
set(74,10732,66064,-90)
set(74,-1856,60168,0)
set(74,-1878,46054,90)
set(74,-1586,-25892,180)
set(73,3056,-16568,-90)
set(73,11434,-22400,0)
set(73,6234,-6382,90)
set(73,-2262,10438,180)
set(73,-1908,20816,-90)
set(73,11698,40420,90)
set(73,7738,53114,180)
set(73,6748,61258,-90)
set(73,2722,52494,0)
set(73,-1722,39836,90)
set(65,3560,-15628,180)
set(65,11318,-28796,-90)
set(65,12570,3124,0)
set(65,9510,43486,90)
set(65,-2784,41722,180)
set(66,-3906,18322,-90)
set(66,3530,1328,0)
set(66,7348,-23444,90)
set(66,11792,2832,180)
set(66,11242,35408,-90)
set(66,6534,51460,0)
set(66,6206,65826,90)
set(67,2686,-24816,180)
set(67,10728,-11956,-90)
set(67,4312,18490,0)
set(67,6468,35568,90)
set(67,17410,49128,180)
set(67,5982,60310,-90)
set(67,-1608,30420,0)
set(67,-1916,-16386,90)
set(73,3635,34225,0)

maxl(22,-5352,-33200)
maxb(5,-35600,-2952)
maxr(22,18648,-33200)
maxt(5,70000,-2952)
